# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	deoA//entB//puuC//chbG//
AlaS-L-alanine	entF//
AllS-allantoin	narG//lsrG//cysG//
AraC-L-arabinose	atoB//aceF//astD//pgk//ubiC//oxc//fes//
ArcA-Phosphorylated	betA//pflB//acs//glgP//deoB//ulaD//hycG//uxuA//yeaE//metH//paaG//gcvT//aroF//paaH//idnD//argA//yfdE//garK//thrS//acnA//carA//truB//galE//pnp//lsrG//carA//torA//citD//paaF//trpE//carB//rutD//oxc//aceB//speB//astA//fucA//kbaZ//gabT//nanK//pta//dmsC//speC//ssuD//argA//tnaA//umpH//moeA//mhpA//rutB//glnA//ubiA//talA//guaB//ndh//cysH//dnaE//prpB//purB//atoA//polA//pgaB//pyrD//ahpF//bioC//tam//dmsA//yiaK//carB//dnaE//nrfD//glpD//bcsB//fucU//nanE//allC//dadX//pdeF//dgcZ//argB//nagA//rdoA//sgbE//bglB//epd//hcp//galE//gnd//hypB//ubiX//fdhF//ynfE//metF//prpC//tktB//guaB//torA//
ArgP-L-arginine	sucB//mutL//prpE//uxaB//nrfC//lysA//fumB//uxuA//paaB//ugpQ//folE//
ArgR-L-arginine	sucA//aspC//prpE//rhaA//prpC//nrfA//dmsA//mhpE//speB//metC//glgA//argG//gnd//lysU//argC//tyrA//ampD//tyrB//cyoE//tdh//gdhA//sgbH//aroL//
AtoC-phosphorylated	xylA//pheS//pgaD//
BaeR-Phosphorylated	cysG//hcp//
BirA-bio-5-AMP	frdD//fadE//deoA//sdhC//entD//
CRP-cAMP	ahpC//nrfB//paaC//srlD//yqjH//fdhF//yfdE//speC//tyrA//ogt//sucB//murQ//prpE//rutB//ubiC//yqjH//dadX//bioA//prs//ahpC//sucD//tam//paaH//paaH//paaA//purL//carB//epd//uxuB//aceB//paaE//sgbE//argD//napG//paaI//entD//pgk//citC//adhE//entD//pncB//cheB//paaF//nirB//cysJ//alaA//lacZ//argI//pyrC//aspC//entE//pgaC//trpC//bcsA//ppiA//pgaC//acnA//phoA//feaB//lyxK//gcvH//pagP//glpB//hycD//bioD//prmC//dapD//fadJ//lysU//phnN//metE//phnG//ldtC//abgB//rhaD//dmsB//tyrA//acs//bglB//atoB//fbaA//bioD//malP//purH//citC//argG//caiC//gpmA//nanA//torA//ssuD//slt//gpmA//phnH//uxuA//cysG//napA//katG//frdA//fumA//entD//ogt//gcvT//phnI//mhpC//mhpD//gpmA//pgaD//rutB//speB//hyaC//miaA//uxuB//rbsD//tdcB//gdhA//napA//eda//napH//ung//lysU//deoA//frdA//lacZ//astC//mltC//uxaB//nrdF//nrfA//nanA//prpB//murQ//carB//rnpB//gapA//atoD//araD//paaZ//phnO//aroA//entH//metC//icd//metH//ansB//citE//gltB//purD//tnaA//frdD//napA//glpE//moeA//sgbE//malZ//amn//pdeF//zwf//ilvG_2//cpdB//pagP//aroA//guaB//frdA//alkA//gltD//metK//entH//psd//paaZ//malY//dmsB//fumC//nirB//moaA//glgP//ulaD//tsaE//sodB//lpd//entH//frc//cheB//sucB//frdC//hpt//slt//rbsK//mltC//argG//ackA//uvrA//ubiC//purE//garL//purD//aroF//garR//malY//tdcG//carB//glcB//sodA//nrfC//fumA//cueO//tsaE//moeB//lysU//gutQ//rhaA//fadI//ada//caiD//ilvG_2//gltB//gltD//malS//cpdB//glcE//ynfE//lacZ//purN//fbaA//rutD//gltA//lsrF//cysM//dapD//gnd//pgaD//lpxB//nrfD//purB//glpA//purK//speB//yfeW//mutL//dkgB//deoB//iscS//glpX//pagP//uxaC//lsrK//betA//aspA//hycE//bacA//yfbR//serA//rhaA//lhgO//epd//hcp//sgbU//lacZ//cynS//agp//argG//alaA//hycF//argI//pdeF//tdcD//xdhA//entH//rdoA//cyoE//alkA//fucI//argH//pgaB//pta//chbG//upp//acs//torC//purF//ahpF//ubiX//glnA//phnO//phnO//sgbU//cueO//pck//pyrD//aroH//
ChbR-Monoacetylchitobiose-6P	purA//cheB//hcp//
CpxR-Phosphorylated	trpB//cyaA//fumA//fucI//entF//napC//sucC//hypF//aroL//sucB//glgX//argB//carB//hypF//mdh//nrfC//atoB//gnd//frc//gpsA//xylA//ubiA//
CreB-Phosphorylated	cyaA//ispE//rutD//
CueR-Ag	pheS//purK//gltA//lsrG//
CueR-Cu+	cysH//metL//dmsC//argC//
CuerR-Au	murQ//napC//phnN//ulaD//
CusR-Pasp	betB//cysM//sodB//
CynR-Cyanate	frdD//allE//hcp//
CysB-N-acetyl-L-serine	pheS//nirB//moaA//sucD//dkgB//ynfF//tdcE//cyaA//hemL//dadA//lysC//hpt//abgB//mpl//fucK//ynfF//
CysB-O-acetyl-L-serine	dapB//argB//gapA//mhpB//idnO//edd//recF//entB//xapA//lysA//rhaA//ynfG//ynfF//cyoE//cadA//astA//cyaA//
DcuR-Phosphorylated	phnJ//moeB//atoA//murQ//
DnaA-ATP	katE//nagA//ubiG//nrfD//hemA//pheT//
DpiA-Pasp	ilvM//tauD//lyxK//mhpD//cysI//
DsdC-D-serine	lysA//xapA//
EvgA-Phosphorylated	bioD//aceB//folA//srlD//pyrD//
FNR-Fe_reduced	dadA//pgaC//dmsA//ilvG_2//sodB//glcF//phnH//ascB//umpH//aldA//icd//purF//gcd//dadA//rutB//chbG//atoB//cueO//cheB//entB//paaJ//frdA//moeA//glcF//sucC//tdcE//ulaD//nanK//xdhB//bioF//glpX//tauD//nrdF//cueO//recF//citC//sucC//cyoE//cdd//ilvN//rutC//ybjG//napG//gcvP//polA//garL//mhpC//moaD//lsrF//paaC//betB//idnD//zwf//paaB//nanM//ispE//napB//nanA//psd//deoA//ulaF//malZ//napB//aroA//purA//phnM//purA//fucA//sdhB//paaH//aroA//sdhB//glpQ//napA//puuE//galT//ansB//nadC//aceE//mhpE//trpD//deoD//allD//ulaD//astB//pagP//pagP//uvrA//uvrA//cpdB//mhpB//recF//pflB//cpdB//aroL//frdD//bioC//prpD//tadA//pnp//gltA//glpQ//manA//ahpC//glgB//atoB//tam//purE//alkA//rutC//nrdE//frc//speA//ynfG//cynS//puuD//speA//sdhB//mhpC//glpE//puuA//lpxB//mhpD//pyrC//pagP//sgbE//xdhC//
FhlA-Formate	cheR//talA//purB//napB//paaJ//citD//phnN//
FucR-L-fuculose-1-phosphate	cynS//pagP//purC//lacZ//ansB//trpA//
