# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	xapA//hycF//
Ada_neg	entE//mhpA//
Ada_pos	fbaA//rffH//araD//pdeL//
AdiY_pos	hycD//melA//entH//pheS//
AgaR_neg	malZ//
AidB_neg	gntK//
AlaS-L-alanine_neg	idnO//
AllR-allantoin_neg	entB//cysE//lysC//fucK//icd//poxB//
AllS-allantoin_pos	ycjG//citD//rutD//
AlsR_neg	rffG//deoC//pyrC//
AppY_pos	phnO//eda//
AraC-arabinose_neg	oxc//murE//cysH//sdhC//argI//
AraC-arabinose_pos	nrfA//hycF//ydcS//gabD//polB//paaA//
AraC_neg	waaZ//mdh//dgcC//
AraC_pos	pheS//phnL//yfdE//
ArgP-arginine_neg	
ArgP-arginine_pos	gpmM//
ArgP_pos	caiA//ulaF//gloA//leuB//rpiB//atoD//nrfC//frc//
ArgR-L-arginine_neg	fadI//narG//mpaA//mhpB//lpd//recF//prpB//puuB//iscS//hypB//bioC//aroG//rutB//lacZ//metL//cysD//ubiA//argC//
ArgR-L-arginine_pos	allE//murC//nagB//truB//napA//
ArsR_neg	waaY//lysA//
AscG_neg	malP//ung//
AsnC_neg	lacA//
AsnC_pos	gabD//
AtoC-Phosphorylated_pos	pfkA//rffG//yeaG//
BCCP_neg	aceE//
BaeR-Phosphorylated_pos	purB//yqjH//
BasR-Phosphorylated_neg	asnB//
BasR-Phosphorylated_pos	phnI//glpK//
BetI_neg	aroF//sucD//glcD//
BirA-biotinyl-5-adenylate_neg	speA//entF//fucI//thrS//allD//
BluR_neg	
BolA_neg	paaK//bioB//
BolA_pos	sucA//pgm//
BtsR-Phosphorylated_pos	patD//
CadC_pos	glpA//dkgA//alkA//
CaiF-L-carnitine_pos	gcvH//glpD//entB//metK//paaZ//
Cbl_pos	xylA//sbcD//dmsA//paaJ//phnJ//
CdaR_pos	nanM//folE//sgbE//sucC//argC//fabA//chbG//asnB//moaD//
CecR_neg	dgkA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	aroF//sgbH//glpQ//
ChbR-N-monoacetylchitobiose6-phosphate_pos	acnA//sbcD//tauD//
ChbR_neg	argD//speA//hyaB//
ChbR_pos	udp//gpmA//fabA//
ComR_neg	
CpxR-Phosphorylated_neg	citE//narH//ppiA//
CpxR-Phosphorylated_pos	wecB//rffH//nanK//carB//pdeL//sgbH//tadA//gloA//pgk//bioD//puuC//purF//prpE//tyrB//lyxK//sodB//citC//narG//
