# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	pflB//cdd//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rutC//katG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sucD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	idnO//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	lhgO//glgC//
AdiY_H-NS_IHF	hypF//
AgaR_CRP	glnA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ftnA//fucA//
AraC_CRP	uxuA//cysJ//pyrC//aspC//katG//
AraC_CRP_XylR	paaJ//cyoE//
AraC_NagC	
ArcA_BetI_Cra	garR//malS//idnO//
ArcA_CRP_CaiF_FNR_H-NS	citD//gadA//ulaD//mhpC//metH//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	glpC//glpC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	paaZ//waaZ//napB//deoC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	udp//
ArcA_CRP_Cra_FNR_NsrR_PdhR	truB//glcD//gltB//
ArcA_CRP_Cra_Fis	nrfB//
ArcA_CRP_Cra_IHF_IclR	appA//recF//deoC//
ArcA_CRP_DcuR	prmC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	accB//
ArcA_CRP_DnaA_FNR	pyrD//
ArcA_CRP_DpiA_FNR_NarL	chbG//caiD//ynfG//
ArcA_CRP_DpiA_FlhDC	argD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	frdC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hycC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	murC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glcF//argD//ugpQ//paaB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	serA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rutB//
ArcA_CRP_FNR_IHF_NarL	sgbE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	napA//
ArcA_CRP_FadR_HipB	rhaB//
ArcA_CRP_FadR_OmpR_PhoP	nagA//
ArcA_CRP_Fis_Mlc_SoxS	garK//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	nanK//gatD//mhpE//
ArcA_CRP_GlpR	bglB//
