# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dld//
aas_lplT	fsaB//
abgABT_ogt	frdC//puuC//paaZ//
abpAB	
accBC	pabA//ppk//
aceBAK	tdcD//nadR//lpxP//
aceEF	mocA//tig//dacA//
ackA_pta	ygjK//purU//
acpP_fabF	lpxB//
acrAB	uxuA//fadA//
acrEF	ileS//
acs_yjcH_actP	astD//patZ//
ada_alkB	bioH//cysI//
agaS_kbaY_agaBCDI	napG//
ahpCF	kbaZ//
alaA_yfbR	entF//yfeW//
alaWX	
allDCE	gabD//astD//argB//
alsBACE	rsmB//phnI//
amiA_hemF	folM//mnmA//
ampDE	rffH//
ansA_pncA	yfbT//prpE//rfbB//
apaGH	eutC//
appCBXA	atoD//fumC//
araBAD	ygaP//dkgB//rpiA//
araE_ygeA	frdC//
araFGH	dapF//
argCBH	fumB//yccX//ppiA//
argT_hisJQMP	allC//mtn//
argX_hisR_leuT_proM	
arnBCADTEF	nfsB//truA//phr//rsmI//bcsA//
aroF_tyrA	prs//leuD//
aroKB_damX_dam_rpe_gph_trpS	rsmC//trpD//dhaK//ppiA//lacZ//aroL//
aroL_yaiA_aroM	maa//
arpB_1B_2	
arsRBC	narH//paaJ//
artPIQM	manA//
ascFB	proC//citC//
asnC_mioC	
asnC_mioC_mnmG	dam//
aspA_dcuA	folC//cysC//
astCADBE	cfa//fklB//rfbA//mpl//glyS//
atoDAEB	rfbA//xylB//kdsD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	gcvT//yhdH//ubiC//rsuA//thiF//caiA//
bamB_der	lpxM//
basRS	
bcsABZC	murE//suhB//
bcsBZ	fabB//dam//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	hycC//ddlB//
bfd_bfr	hemD//
bglGFB	ribD//leuA//
bglH_yieLK	
bioBFCD	glpB//thiL//pabC//citF//
brnQ_proY	araA//aceA//
btuB_murI	tktA//ydiO//
btuCED	abgB//valS//
cadBA	murD//eno//
caiCDE	rluB//rlmL//
caiTABCDE	citE//mnaT//hmp//talA//rlmL//
carAB	valS//
casABCDE12	iaaA//
casDE12	yegS//
cbpAM	
cbrBC	
ccmABCDEFGH	codA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	fcl//selB//pfkB//
chiP_ybfN	trmI//
chpSB	mltF//
citCDEFXG	cysQ//eptA//nirD//
