# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgoD//
aas_lplT	patD//
abgABT_ogt	lpcA//pgk//yidA//
abpAB	
accBC	dgcP//treF//
aceBAK	glf//cpsG//relA//
aceEF	clsB//rsmH//thrB//
ackA_pta	efeB//alkA//
acpP_fabF	menI//
acrAB	mtgA//fadM//
acrEF	serS//
acs_yjcH_actP	tdcB//paaA//
ada_alkB	galE//fucO//
agaS_kbaY_agaBCDI	opgB//
ahpCF	paoB//
alaA_yfbR	mnmA//mutL//
alaWX	
allDCE	argB//yfeW//astD//
alsBACE	mpaA//cadA//
amiA_hemF	mhpB//fdhF//
ampDE	aslA//
ansA_pncA	gltB//yihV//ttdA//
apaGH	fadJ//
appCBXA	mazG//rlmE//
araBAD	cysE//phnI//pgm//
araE_ygeA	paaI//
araFGH	amn//
argCBH	thiF//aroD//frdB//
argT_hisJQMP	hisF//polA//
argX_hisR_leuT_proM	
arnBCADTEF	yhhW//gcvT//paaB//pepD//cmk//
aroF_tyrA	arsC//entF//
aroKB_damX_dam_rpe_gph_trpS	menC//glf//gnd//trpB//idnK//ppc//
aroL_yaiA_aroM	rsmF//
arpB_1B_2	
arsRBC	pabC//pncC//
artPIQM	hemD//
ascFB	sodC//hyuA//
asnC_mioC	
asnC_mioC_mnmG	thiL//
aspA_dcuA	gstB//ubiX//
astCADBE	rutD//guaC//dld//sad//dusC//
atoDAEB	dadX//ruvB//garL//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	cynS//ydfG//uvrB//caiC//qor//prpD//
bamB_der	ogt//
basRS	
bcsABZC	speA//nfsB//
bcsBZ	ydfG//tyrA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	ispF//ilvI//
bfd_bfr	tadA//
bglGFB	rffT//caiC//
bglH_yieLK	
bioBFCD	kduI//ahr//garD//amn//
brnQ_proY	pdxB//aroL//
btuB_murI	thrS//deoD//
btuCED	queD//entB//
cadBA	ldtA//fkpA//
caiCDE	cueO//pdxK//
caiTABCDE	hyuA//yeiG//ribB//rfaD//cpsG//
carAB	glyA//
casABCDE12	ispA//
casDE12	tadA//
cbpAM	
cbrBC	
ccmABCDEFGH	nudC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	metE//araA//maeA//
chiP_ybfN	glcE//
chpSB	cysD//
citCDEFXG	cysH//yihX//entA//
clpPX	ogt//insI-1//uxuA//ygaP//
clpX_lon	prpB//ndk//cobS//
clsA_yciU	thrB//
cmk_rpsA	argB//
cmoM_mukFEB	
cmtBA_yggPFDC	phnL//dld//
coaE_zapD_yacG	panB//
cobUST	pdxY//pfkB//pyrE//
codBA	frdC//maa//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ubiC//
csgBAC	
csgDEFG	ubiC//
