#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2730//b2725//
Ada-Methylated_pos	b3667//b3409//b0937//b0107//
AlaS-L-alanine_neg	b2570//
AllS-allantoin_pos	b2375//b3070//b3165//
AraC-L-arabinose_neg	b1042//b3365//b3958//b1189//b1011//b3367//b1385//b4018//
AraC-L-arabinose_pos	b3565//b3724//b2205//b3327//b3132//b1852//b4125//b0180//b2487//b3171//
ArcA-Phosphorylated_neg	b2557//b0678//b3723//b4326//b1589//b2560//b4123//b2799//b3508//b4074//b4014//b1818//b2279//b3707//b1224//b2063//b3115//b3770//b0154//b4106//b0593//b1684//b0593//b0588//b1221//b0345//b3543//b0570//b1475//b4187//b2551//b1684//b2723//b1245//b2163//b2243//b0125//b3425//b1246//b0042//b1616//b1887//b1654//b2311//b4073//b1112//b2708//b3773//b1885//b4067//b1890//b3165//b1492//b0384//b3092//b1922//b1814//b4292//b4018//b3095//b3688//b0035//b1321//b0517//b2287//b1982//b4098//b3276//b0724//b0484//b4197//b2841//b0118//b3521//b2802//b0396//b4426//b2465//b2489//b4288//b1608//b0681//b1220//b3925//b3961//b4173//b4511//b4014//b3359//b2723//b2609//b2311//b1322//b2760//b0886//b2095//b0114//b4399//b2205//b0726//b2911//b3049//b0037//b3095//b0352//b3902//b1546//b2221//b2221//b3363//b3565//b2290//b3116//b4401//b0152//b2724//b0896//b0781//b3126//b1211//b2078//b4000//b3092//b2194//b3533//b2422//b2484//
ArcA-Phosphorylated_pos	b1735//b3115//b3423//b1379//b3769//b2728//b0350//b4321//b0312//b1015//b1023//b4039//b3225//b3544//b4059//b3321//b2422//b2697//b2212//b2756//b4467//b2742//b0972//b1857//b4104//b1245//b2150//b2995//b1796//b2280//b0619//b3161//b2223//b0080//b3093//b0605//b0115//b2205//b0980//b0340//b2764//b2342//b2730//b2484//b2371//b4040//b1988//b2150//b3461//b4698//b2730//b0064//b3574//b2754//b2937//b3528//b0722//b4006//
ArgP-L-arginine_neg	b2867//
ArgP-L-arginine_pos	b1476//b0977//b1385//b0763//b3394//b2424//b4014//b0934//b0109//b0036//b1262//b0440//b2923//b0805//b3277//
ArgR-L-arginine_neg	b2464//b2673//b4287//b2961//b0757//b0078//b1512//b1907//b4005//b2600//b1131//b1679//b2530//b0378//b0523//b3934//b0451//b2961//b0588//b0592//b2805//b3168//b0724//b1010//b2716//b1713//b4292//b0677//b3870//b0566//b3870//b1020//b0895//b3708//
ArgR-L-arginine_pos	b1884//b3941//b1160//b1207//b4036//
AtoC-phosphorylated_pos	b3364//b0880//b4014//b3476//
BaeR-Phosphorylated_pos	b3224//b3313//b3212//b1338//b2149//b4450//b3417//b1039//
