# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	tdcB//dmsA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	entA//pgaB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	hycF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aroL//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	citG//sdhB//
AdiY_H-NS_IHF	uxaC//
AgaR_CRP	sgbU//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	puuC//gcd//
AraC_CRP	mhpC//mpl//fdhF//icd//galM//
AraC_CRP_XylR	paaZ//relA//
AraC_NagC	
ArcA_BetI_Cra	deoA//garK//araA//
ArcA_CRP_CaiF_FNR_H-NS	araD//garR//fabB//gltD//paaE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ftsI//uvrA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	astD//gabD//rutB//cdd//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fumC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	cysJ//metE//truB//
ArcA_CRP_Cra_Fis	glcF//
ArcA_CRP_Cra_IHF_IclR	gntK//rbsD//astD//
ArcA_CRP_DcuR	atoB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ulaF//
ArcA_CRP_DnaA_FNR	tnaA//
ArcA_CRP_DpiA_FNR_NarL	tam//ascB//dadA//
ArcA_CRP_DpiA_FlhDC	cysG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nfsB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	araD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ascB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	astB//purN//garL//idnO//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ulaE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cadA//
ArcA_CRP_FNR_IHF_NarL	ddlB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	waaH//
ArcA_CRP_FadR_HipB	dadX//
ArcA_CRP_FadR_OmpR_PhoP	waaZ//
ArcA_CRP_Fis_Mlc_SoxS	metE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	carA//yiaK//paaF//
ArcA_CRP_GlpR	fumB//
