#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	hprR//b3290//b3264//b2622//
GO_0000023_6	b3394//
GO_0000025_7	b0879//
GO_0000027_7	b4340//b0476//b0162//b3140//b4041//b2565//b3076//b3295//b1732//b2094//b2412//b4097//b1828//
GO_0000028_7	b3341//b2582//b1731//b1006//b3441//b3034//b1854//b1352//b1122//
GO_0000032_8	b2714//
GO_0000041_8	b0186//b2919//b3204//b0350//b0082//b4357//b2750//b2328//b0907//b4077//b0864//b2725//b2777//b3258//b4173//b4162//b1448//b2195//b0313//b4055//b1122//b0798//b3809//b2308//b0836//b1841//b2751//b3062//b0349//b1959//b4221//b2704//b2634//b4682//b1395//b4687//b3831//b4324//b3227//
GO_0000050_5	b2998//b1427//b4042//b1866//b0439//b3871//b4520//
GO_0000053_5	b0982//
GO_0000096_5	b0170//b1117//b1187//b3932//b2155//b1474//b2945//b3326//b2708//b2728//b0474//qorA//b3648//b1637//b0778//b3408//b4666//b0642//b0910//b3740//b4340//
GO_0000097_6	b2673//b1592//b3881//gapC//b4203//b0820//b3414//b3265//b2335//b0915//b1140//b4074//b0628//b0376//
GO_0000098_6	b4314//b0650//b3447//b1077//b3717//
GO_0000101_6	b2763//b1091//b2702//b4077//b2611//b3558//b3721//b1637//b2026//b3053//b1707//b0546//b3224//b2840//b4382//
GO_0000103_5	b1625//b1518//b1440//
GO_0000105_6	b3037//b4136//b4193//b0311//b3895//b3201//b0835//b1210//
GO_0000154_7	b2865//b0399//b0910//b2303//b0836//b0215//b0303//b0053//b1191//b3839//b0410//b3816//b4381//b0445//b0573//b1018//b1688//b0441//b2185//b1303//b3253//b2182//b3917//b4337//b3942//b4351//b1286//b0584//b4347//b0565//b3601//b1093//
GO_0000160_5	b4125//b3901//b3343//b1290//b1434//b3121//b1130//b4485//b3209//b0588//b4179//b2945//b4311//b3124//b2364//b1516//b3087//b3209//b3697//b4222//b1516//b3319//b3879//b2512//b1335//b3313//b0675//b3966//b0750//b3417//insI4//b3407//b4099//b1481//b2362//b0708//b4280//b2792//b4065//ftp//b0118//b3384//b0928//
GO_0000162_7	b4322//b2802//b3647//b1863//b2922//b4238//b0194//b0245//b0554//
GO_0000255_5	b3512//b3317//b0127//b2477//b2104//
GO_0000256_6	b0766//b2705//b4485//b1023//b2830//
