# Copied from: /Users/Daniela/Documents/CCG/colaboraciones/Misha/TUs/datasets/tus_2_as_regulons.txt. Only TUs with 2 or more genes were considered.
# From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Tue Feb 27 11:02:06 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
# Only TUs of 2 or more genes.
# Repetitions were omitted using: 
aaeXAB	aaeX//aaeA//aaeB//
aas-lplT	aas//lplT//
abgABT-ogt	abgA//abgB//abgT//ogt//
abpAB	abpA//abpB//
accBC	accB//accC//
aceBAK	aceB//aceA//aceK//
aceEF	aceE//aceF//
ackA-pta	ackA//pta//
acpP-fabF	acpP//fabF//
acrAB	acrA//acrB//
acrEF	acrE//acrF//
acs-yjcH-actP	acs//yjcH//actP//
ada-alkB	ada//alkB//
agaS-kbaY-agaBCDI	agaS//kbaY//agaB//agaC//agaD//agaI//
ahpCF	ahpC//ahpF//
alaA-yfbR	alaA//yfbR//
alaWX	alaW//alaX//
allDCE	allD//allC//allE//
alsBACE	alsB//alsA//alsC//alsE//
amiA-hemF	amiA//hemF//
ampDE	ampD//ampE//
ansA-pncA	ansA//pncA//
apaGH	apaG//apaH//
appCBXA	appC//appB//appX//appA//
araBAD	araB//araA//araD//
araE-ygeA	araE//ygeA//
araFGH	araF//araG//araH//
argCBH	argC//argB//argH//
argT-hisJQMP	argT//hisJ//hisQ//hisM//hisP//
argX-hisR-leuT-proM	argX//hisR//leuT//proM//
arnBCADTEF	arnB//arnC//arnA//arnD//arnT//arnE//arnF//
aroF-tyrA	aroF//tyrA//
aroKB-damX-dam-rpe-gph-trpS	aroK//aroB//damX//dam//rpe//gph//trpS//
aroL-yaiA-aroM	aroL//yaiA//aroM//
arpB_1B_2	arpB_1//arpB_2//
arsRBC	arsR//arsB//arsC//
artPIQM	artP//artI//artQ//artM//
ascFB	ascF//ascB//
asnC-mioC	asnC//mioC//
asnC-mioC-mnmG	asnC//mioC//mnmG//
aspA-dcuA	aspA//dcuA//
astCADBE	astC//astA//astD//astB//astE//
atoDAEB	atoD//atoA//atoE//atoB//
atoSC	atoS//atoC//
atpBEFHAGDC	atpB//atpE//atpF//atpH//atpA//atpG//atpD//atpC//
atpIBEFHAGDC	atpI//atpB//atpE//atpF//atpH//atpA//atpG//atpD//atpC//
baeSR	baeS//baeR//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	bamA//skp//lpxD//fabZ//lpxA//lpxB//rnhB//dnaE//
bamB-der	bamB//der//
basRS	basR//basS//
bcsABZC	bcsA//bcsB//bcsZ//bcsC//
bcsBZ	bcsB//bcsZ//
bcsEFG	bcsE//bcsF//bcsG//
bdm-sra	bdm//sra//
bepA-yfgD	bepA//yfgD//
betIBA	betI//betB//betA//
bfd-bfr	bfd//bfr//
bglGFB	bglG//bglF//bglB//
bglH-yieLK	bglH//yieL//yieK//
bioBFCD	bioB//bioF//bioC//bioD//
brnQ-proY	brnQ//proY//
btuB-murI	btuB//murI//
btuCED	btuC//btuE//btuD//
cadBA	cadB//cadA//
caiCDE	caiC//caiD//caiE//
caiTABCDE	caiT//caiA//caiB//caiC//caiD//caiE//
carAB	carA//carB//
casABCDE12	casA//casB//casC//casD//casE//cas1//cas2//
casDE12	casD//casE//cas1//cas2//
cbpAM	cbpA//cbpM//
cbrBC	cbrB//cbrC//
ccmABCDEFGH	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//
cecR-ybhGFSR	cecR//ybhG//ybhF//ybhS//ybhR//
chaBC	chaB//chaC//
chbBCARFG	chbB//chbC//chbA//chbR//chbF//chbG//
chiP-ybfN	chiP//ybfN//
chpSB	chpS//chpB//
citCDEFXG	citC//citD//citE//citF//citX//citG//
clpPX	clpP//clpX//
clpX-lon	clpX//lon//
clsA-yciU	clsA//yciU//
cmk-rpsA	cmk//rpsA//
cmoM-mukFEB	cmoM//mukF//mukE//mukB//
cmtBA-yggPFDC	cmtB//cmtA//yggP//yggF//yggD//yggC//
coaE-zapD-yacG	coaE//zapD//yacG//
cobUST	cobU//cobS//cobT//
codBA	codB//codA//
cpxPQ	cpxP//cpxQ//
cpxRA	cpxR//cpxA//
creABC	creA//creB//creC//
creABCD	creA//creB//creC//creD//
crfC-yjcZ	crfC//yjcZ//
csdAE	csdA//csdE//
csgBAC	csgB//csgA//csgC//
csgDEFG	csgD//csgE//csgF//csgG//
csiD-lhgO-gabDTP	csiD//lhgO//gabD//gabT//gabP//
cusCFBA	cusC//cusF//cusB//cusA//
cusRS	cusR//cusS//
cvpA-purF-ubiX	cvpA//purF//ubiX//
cydAB	cydA//cydB//
cydDC	cydD//cydC//
cydX-ybgE	cydX//ybgE//
cynTS	cynT//cynS//
cynTSX	cynT//cynS//cynX//
cyoABCDE	cyoA//cyoB//cyoC//cyoD//cyoE//
cysDNC	cysD//cysN//cysC//
cysJIH	cysJ//cysI//cysH//
cysPUWAM	cysP//cysU//cysW//cysA//cysM//
dadAX	dadA//dadX//
dam-rpe-gph-trpS	dam//rpe//gph//trpS//
damX-dam-rpe-gph-trpS	damX//dam//rpe//gph//trpS//
dapA-bamC	dapA//bamC//
dapE-ypfN	dapE//ypfN//
dcm-vsr	dcm//vsr//
dcuB-fumB	dcuB//fumB//
dcuSR	dcuS//dcuR//
dcyD-tcyLN	dcyD//tcyL//tcyN//
ddpXABCDF	ddpX//ddpA//ddpB//ddpC//ddpD//ddpF//
def-fmt	def//fmt//
degQS	degQ//degS//
deoABD	deoA//deoB//deoD//
deoBD	deoB//deoD//
