# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	uxuA//gnd//
Ada_neg	sdhD//dkgB//
Ada_pos	ttdB//allC//lhgO//araD//
AdiY_pos	slt//moeA//fadI//sbcC//
AgaR_neg	chbF//
AidB_neg	bioF//
AlaS-L-alanine_neg	nrfC//
AllR-allantoin_neg	fucA//citE//glgC//araD//ttdB//pnp//
AllS-allantoin_pos	fabD//paaC//prpC//
AlsR_neg	umuC//gatZ//rutE//
AppY_pos	garD//uvrA//
AraC-arabinose_neg	trpC//pyrD//lysA//araA//bioA//
AraC-arabinose_pos	ascB//bglB//trpD//rffH//trpB//alsE//
AraC_neg	gatY//dhaL//chbG//
AraC_pos	hcaE//aroG//araD//
ArgP-arginine_neg	
ArgP-arginine_pos	malZ//
ArgP_pos	garK//allA//uidA//aceE//phnP//glpK//nadB//rfe//
ArgR-L-arginine_neg	malY//ahpF//lpd//fucK//sbcD//bacA//rffH//argB//nrfA//gpmA//recD//lsrF//argB//dapB//glpX//rutB//paaG//purB//
ArgR-L-arginine_pos	dhaM//hyaC//fabG//paaJ//aroH//
ArsR_neg	argF//thrS//
AscG_neg	nagA//paaH//
AsnC_neg	fucU//
AsnC_pos	tktB//
AtoC-Phosphorylated_pos	mltF//glpK//paaA//
BCCP_neg	alkB//
BaeR-Phosphorylated_pos	napH//pncB//
BasR-Phosphorylated_neg	gadA//
BasR-Phosphorylated_pos	ynfF//caiB//
BetI_neg	ttdB//ribA//pgk//
BirA-biotinyl-5-adenylate_neg	malS//hemH//dkgB//ppc//ribA//
BluR_neg	
BolA_neg	fabI//sucA//
BolA_pos	paaJ//citF//
BtsR-Phosphorylated_pos	eda//
CadC_pos	glgP//cysH//mhpB//
CaiF-L-carnitine_pos	atoB//garR//hycE//lldD//sucA//
Cbl_pos	rutE//dapB//galT//ftnA//cysH//
CdaR_pos	pgm//moaA//glpX//bioF//rffH//sdhC//moaC//umpH//srlD//
CecR_neg	frdB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	dmsB//fadB//purL//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pgaC//hmp//argB//
ChbR_neg	trpA//glgA//ada//
ChbR_pos	rffH//cynT//tdcB//
ComR_neg	
CpxR-Phosphorylated_neg	metH//yeaE//xylA//
CpxR-Phosphorylated_pos	speG//pdeL//glnA//fucK//wecB//ychF//murD//hypB//ruvB//aspA//glgP//lyxK//deoC//sgbU//recF//lacZ//sucD//phnG//
Cra_neg	oxc//hcaD//fucU//carB//entD//paaI//narH//cysH//frdC//gntK//argA//fabA//aroL//gadB//xapA//paaZ//paaF//uidA//cadA//fabB//garK//phoA//ulaG//tpiA//allB//napH//deoA//glcF//ruvA//allB//astE//acnA//moaA//sgbU//citG//alaC//speG//truB//hcaD//uvrA//argI//glpD//guaB//deoD//sgbH//
Cra_pos	phr//gudD//pdeH//mhpA//cysJ//tehB//pgaB//sgbH//citF//yedX//icd//fadB//gnd//garR//entE//glcB//phr//
CreB-Phosphorylated_neg	gutQ//
CreB-Phosphorylated_pos	rutD//
CsgD_neg	napG//gcl//
CsgD_pos	paaY//aceF//sufS//
CsiR_neg	accD//rutE//dhaM//trpC//
CspA_pos	treC//
CueR-Cu_neg	tnaA//ndh//ydcS//
CueR-Cu_pos	astD//glpD//
CusR-Pasp_pos	allD//thrS//paaJ//gor//
CynR-cyanate_pos	kbaZ//entB//uxuA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	acnB//mngB//rtcA//
CysB-O-acetyl-L-serine_pos	murC//tadA//citE//fadD//glnA//katE//phnM//glpB//rffT//ccp//hcaF//garK//
CysB_neg	
CysB_pos	glgP//nanK//
CytR_neg	fbaA//amn//hypB//allB//metK//nrdD//oxc//ruvB//putA//speB//
Dan-L-tartrate_pos	rbsD//deoC//
DcuR-Phosphorylated_pos	phnM//hypB//dgcZ//ugpQ//
DeoR_neg	phnJ//cysM//mpl//rffC//hcaE//udp//
DhaR_neg	
DhaR_pos	sufS//
DicA_neg	
DinJ-YafQ_neg	speG//
DnaA-ATP_neg	araD//carB//ribA//prpD//folA//
DnaA-ATP_pos	glsA//dkgA//umpH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	aspC//moaE//glk//gloA//dapB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	entE//lsrF//
EbgR_neg	
EnvR_neg	mpl//malQ//
EnvY_pos	mhpC//cysN//
EvgA-Phosphorylated_pos	pgpC//sucA//aceA//cynT//napH//xylB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	nadA//cysD//lsrF//thrS//hcaC//guaA//
FabR_neg	paaK//fbaA//nanA//
FadR-acyl-CoA_pos	
FadR_neg	hypF//ugpQ//fadI//napA//wecB//phnJ//garK//frdD//wecB//
FadR_pos	fabD//paaE//argA//glyA//fadM//puuB//ttdA//fabG//gcvP//narG//
FeaR_pos	glgP//aroG//
FhlA-formate_pos	glpX//xylA//asnB//ruvB//hemL//sdhC//moaD//metE//
FlhDC_neg	entA//tyrA//
FlhDC_pos	phnI//accD//trpD//ycjG//nanM//rutA//fbaA//gnd//tktB//sodB//araD//dhaK//
FliZ_neg	sdhA//purL//frdC//rffH//chbF//
FucR-L-fuculose-1-P_pos	aceE//eno//hyaA//phnM//lsrK//murD//
Fur-Fe2_neg	citF//bglB//dhaK//umuC//napH//adhE//citG//xylB//ubiA//caiA//ssuE//fruK//alsE//sbcD//bacA//allD//glpB//sucC//rbsD//folA//frdB//pdeR//codA//lsrK//ttdB//moaC//purD//hycF//nagB//grxA//yfdE//ttdA//kbaY//lsrG//deoD//cdd//guaA//nagA//fbaB//yqhD//yeaG//frc//pheT//pgaD//caiD//lsrF//fabZ//trpB//hcaC//garR//aspA//sucD//murE//
Fur-Fe2_pos	phr//hemH//hyaA//nrdD//rhaD//glpD//rffC//araB//nanM//folE//fbaA//gapA//tnaA//katG//ruvB//alkA//
GadE-RcsB_pos	alkA//ugpQ//gatD//fruK//fabZ//
GadE_pos	fucK//fadA//atoB//appA//glyA//gpmA//ubiC//bacA//glpA//sdhA//
GadW_neg	araB//bioF//entC//
GadW_pos	bioD//narG//puuE//mdh//
GadX_neg	tyrB//ulaF//nrdD//
GadX_pos	sdhB//lyxK//fdhF//puuD//uvrA//aspC//hmp//ahpF//psd//ccp//paaJ//
GalR-beta-D-galactose_neg	pfkA//sgbH//astE//mtlD//cysK//
GalR-beta-D-galactose_pos	glgC//purF//ascB//napA//
GalR_neg	ruvB//feaB//murE//gabD//asnA//fadB//
GalR_pos	pgaD//pykF//ygeA//fes//
