#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	yrhA//
C0299	b1566//
C0362	b4381//
C0465	b3414//
C0614	b4132//
C0664	b3396//
C0719	b3328//
IS128	b0390//
aaeR	b0760//
aaeXAB	b3708//b3901//b3733//
aas-lplT	b3920//b2690//
aat	b0723//
abgABT-ogt	b3120//b3880//b4288//b3496//
abgR	b3997//
abpAB	b0749//b1163//
abrB	b1488//
accA	b3212//
accBC	b0389//b0348//
accD	b1669//
aceBAK	b2069//b1213//b1599//
aceEF	b3584//b1953//
aceK	gadF//
ackA	b2074//
ackA-pta	b1541//b1178//
acnA	b4436//
acnB	b2964//
acpH	b0308//
acpP	b3255//
acpP-fabF	b1906//b0446//
acpT	b2839//
acrAB	b0991//b0592//
acrB	b3893//
acrD	b4001//
acrEF	b0330//b3587//
acrR	b3873//
acrZ	b3009//
acs-yjcH-actP	b2181//b1066//b0881//
actP	b1606//
ada-alkB	b0717//b1062//
add	b1545//
adeD	b1487//
adeP	b3068//
adeQ	b0228//
adhE	b0134//
adhP	b1985//
adiA	b1549//
adiC	b3137//
adiY	b3431//
adk	b4243//
aegA	b2207//
aer	b0961//
aes	b2405//
agaR	b1956//
agaS-kbaY-agaBCDI	b3747//b2172//b4423//b3107//b0212//b3756//
agp	b2444//
agrA	b4368//
agrB	b0722//
ahpCF	b0553//b1217//
ahpF	b2465//
ahr	b3940//
aidB	b0227//
ais	b3655//
alaA	b4011//
alaA-yfbR	b2717//b1608//
alaC	b2468//
alaE	b3223//
alaS	b4368//
alaWX	b3284//b2748//
aldA	b1985//
aldB	b2095//
alkA	b2378//
alkB	b2954//
allA	b0762//
allDCE	b1120//b1222//b1598//
allR	b0276//
allS	b1123//
alpA	b2011//
alr	b2269//
alsBACE	b3096//b1414//b2297//b1799//
alsK	b0440//
alx	b3024//
amiA-hemF	b1929//b0059//
amiC	b3220//
amn	b3752//
ampC	b4295//
ampDE	b3785//b0903//
ampG	b3391//
ampH	yedS_3//
amyA	b2019//
anmK	b3202//
ansA-pncA	b0774//b3095//
ansB	b1582//
ansP	b2011//
apaGH	b0143//gapC_2//
aphA	b4297//
appA	b3507//
appCBXA	b3651//b3936//b3147//b3291//
appY	b0296//
apt	b0723//
aqpZ	b1399//
araBAD	b2256//b2786//b3551//
araC	b0814//
araE	b0653//
araE-ygeA	b4104//b1167//
araFGH	b3795//b1292//b0348//
araJ	xisR//
arcA	b4125//
arcB	b0492//
arcZ	b3581//
arfA	b1695//
argA	b4320//
argCBH	b3394//b1697//b1013//
argD	b1526//
argE	b1326//
argF	b3851//
argG	b4595//
argI	b0535//
argO	b0810//
argP	b4390//
argQ	b0970//
argR	b1212//
argS	b2837//
argT-hisJQMP	b0145//b1208//b0843//b3565//b0705//
argU	b4165//
argW	b4367//
argX-hisR-leuT-proM	b0859//b3592//b1394//b0840//
ariR	b1864//
arnBCADTEF	b3950//b1527//b0270//b2588//b1520//b0351//b1597//
aroF-tyrA	b3564//b0559//
aroG	b2793//
aroH	b2513//
aroKB-damX-dam-rpe-gph-trpS	b1727//b4139//b2888//b4451//b0618//b1228//b1235//
aroL-yaiA-aroM	b4366//b2952//b1509//
aroP	b1348//
arpA	b2480//
arpB_1B_2	b2633//b3253//
arrS	b1049//
arsRBC	b1611//b3620//insAB-6//
artJ	b0123//
artPIQM	b1499//b3659//b3038//b0712//
ascB	b2421//
ascFB	b2609//b3952//
ascG	b2140//
asd	b1527//
aslA	b0639//
aslB	b2207//
asmA	b3912//
asnA	b0929//
asnB	b3059//
asnC	b2625//
asnC-mioC	b0944//b3650//
asnC-mioC-mnmG	b0216//b0443//b0892//
asnS	b1883//
asnT	b0988//
asnU	b2869//
asnV	b3102//
asnW	b2289//
aspA	b4435//
aspA-dcuA	b1241//b0563//
aspC	b3530//
aspS	b4235//
aspT	b3958//
aspU	b2565//
aspV	b1788//
asr	b1293//
astCADBE	b0286//b1473//b3818//b1447//b0658//
atl	b2166//
atoDAEB	b4624//b2091//b3804//b0784//
atoSC	b0029//b0096//
atpBEFHAGDC	b0544//b1711//b1284//b1258//b2830//b3141//b4424//b1282//
atpIBEFHAGDC	b0767//b0115//b1660//b0424//b2124//b0734//b4458//b0280//b0461//
avtA	selU//
azoR	b2388//
azuC	b2105//
bacA	b0775//
baeSR	b2024//b1544//
bamA	b1230//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b3877//b2553//b0154//b2402//b4613//b0071//b2975//b0660//
bamB-der	b3143//b1234//
bamC	b3027//
bamD	b0372//
bamE	b2034//
barA	b1127//
basRS	b0432//b1961//
bax	b0757//
bcp	b1714//
bcr	b3875//
bcsABZC	ymdE//b0178//b4375//b0817//
bcsBZ	b1646//b2879//
bcsEFG	b0022//b3788//b0147//
bcsQ	b2340//
bdcA	b0192//
bdcR	b1954//
bdm-sra	b1968//b2816//
bepA-yfgD	b1442//b4018//
betIBA	b4568//b2532//b0072//
betT	b1518//
bfd-bfr	b0322//b2871//
bglA	b3542//
bglG	b3266//
bglGFB	b1604//b4198//b0061//
bglH-yieLK	b4175//b1697//b4041//
bglX	b4707//
bhsA	b2495//
bioA	b1576//
bioBFCD	b1482//b1392//insAB-2//micL//
bioH	b3612//
bipA	b1785//
bisC	b0791//
blc	b3603//
blr	b4110//
bluF	b2552//
bluR	b3197//
bolA	b3459//
borD	b0679//
brnQ-proY	b2189//b4200//
bsmA	b0719//
bssR	b4260//
bssS	b1657//
btuB-murI	b2584//b1387//
btuCED	b4287//b2935//b1795//
cadA	b3847//
