#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b3269//
Ada	b4392//b1484//b4201//
AgaR	b3672//b1131//b1924//b3744//b3813//b3066//b3686//
AlaS	b1229//
AllR	b2397//b4044//b1623//b2427//b4522//b2061//b4116//b1073//b3688//
AllS	b3494//b4435//b0775//
AlsR	b1076//b3456//b2498//b0668//b4044//b1229//
ArcA	b0862//b0999//
ArgP	b2316//b1183//b3617//
ArgR	b0890//b3062//b0060//b0697//b1379//b3469//b0591//b2213//b0073//b3455//b0505//b3912//b0665//b4347//
ArsR	b0190//b3141//b4129//
AscG	b0923//
AsnC	b1092//
BasR	b0654//
BirA	b0153//b0399//b1287//b3493//b4401//
BluR	b3338//b2542//b4025//b1263//
BolA	b3730//b2498//
CRP	b0731//b3958//b2436//b2839//b1729//b1079//b4087//b2211//b1729//b1187//b4024//b4392//sroC//b0688//b1575//b3960//b1322//b0378//b3431//b0743//b0072//b1704//b3067//b1487//b2607//b3502//b1200//b0841//b4160//b3793//b3237//b4326//b0668//b4445//b2127//b1322//b4101//b1203//b4088//b2371//b2820//b1967//b2212//b0153//b0378//b3269//b0515//b3957//b0751//b3005//b3617//b4401//b1165//b2371//b3356//b0792//b4249//b2559//b0400//b1409//b4618//b4525//b1484//b1127//b3501//b0591//b0517//b0162//
CdaR	b2061//b3237//b4090//b3797//b2497//
CecR	b0443//b3609//b4213//b1073//b1092//
CpxR	b0346//b1164//b4242//b1442//b2539//b3183//b1880//cpxQ//b0108//b4044//b0378//b4254//b2542//b0377//b3441//b4355//b0806//b3455//b0864//b0507//b2232//b2819//b3979//b1080//b1575//b0233//b1440//b1481//b2684//b1702//b1702//b2530//
Cra	b4599//b4254//b0795//b3729//b2789//b3237//b0522//b2560//b2839//b2852//b3791//b1166//b1967//b0698//b0688//
CreB	b0244//
CsgD	b1483//b0604//b1411//b0293//b1303//b2531//b4129//b4087//b3612//
CueR	b3356//b2313//
CynR	b2167//b3423//b1262//b0890//
CysB	b3791//b3394//b3813//b3665//b4398//b0652//b1924//b1547//b0565//b3128//
Dan	b0382//b2825//b0523//b1203//
DhaR	b3460//b3863//b3393//b3460//
DicA	b3432//b1784//b0240//b2582//b3617//b4364//b0862//b1032//
DnaA	b4202//b2291//
EvgA	b4093//b1488//b0399//b3525//b3957//b3979//b1784//
