#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0199//b2904//
aceF	b4132//b3741//
adiC	b3931//b1565//
araH	b3737//b2242//b4371//
artP	b2169//b4610//
artQ	b2727//b3506//
atpH	b1941//b1632//b3506//b1783//b2883//b3334//
bcsB	b1258//b1709//
bcsF	b1587//b0914//
betI	wbbL//b1293//b0828//
btuE	b0509//b3180//
cadB	b3307//b0487//
ccmE	b0652//b4187//b0183//
ccmH	b0199//b1134//b3927//
chbR	b1578//b1617//
chpR	b0114//b1631//
citF	b0150//b1887//b4270//
cobU	b0523//b3930//b2513//
csgG	b0921//b2354//b4310//b1350//
cueR	b2530//b0073//b2977//
cusF	b0549//b0584//b3346//b1878//
cyoE	b0586//b3225//b1491//b3195//b1297//
dacA	b1097//b0999//
ddpC	b1564//b2706//
ddpF	b3319//b0922//b1039//b2501//
deoD	b2455//b4230//b1444//b1299//
dhaM	b0642//yedS//b0737//
dmsB	b1154//ybfI//
dnaK	b3740//b4291//
dppF	b2911//b0865//b3069//b2500//b4314//
edd	b0734//b2004//
efeU	b2150//b1075//
eptA	b0085//b0468//b3195//b2939//b3791//b0094//b1198//b2597//b4269//
eutL	b2400//b4291//
eutT	b4068//b1297//b2957//b0036//b3903//b1950//
fabG	b0112//b1166//
fadB	b3195//b4466//
fdnI	b2455//b3228//
fecE	b3432//b2652//b3386//b1678//b0164//
fepC	b1485//b3739//
fepG	b3124//b2764//
fhuD	b3319//b1778//b3750//b4183//
fimH	b1683//b2676//b2137//b0150//
fimI	b2776//b3110//b1039//
fklB	b2856//b3141//b3523//
flhD	b0616//b3213//
frmR	b4128//b4096//
fruK	b0199//b2283//b1878//
ftsN	b2744//b2486//b1944//
gadX	b2093//b3958//
galT	b2286//b2939//b3191//b1244//
garR	b2460//b1244//b4610//b2013//b2439//
gatZ	b3197//b0831//b2208//b4183//b4303//b2423//b0982//
gcvT	b2530//b3658//b3129//
glcG	b2878//b4033//b4524//
glgX	b3417//b4151//b1159//b1674//
glnL	b0737//b4135//
glnQ	b1941//b4237//b3513//
glpT	b1015//b3659//b0996//b2021//b1293//b4122//b0091//b0903//
gltB	b0811//b0864//
gltL	b2841//b3208//
glxR	b4203//b3478//
gspB	b1777//b1156//
gspD	b2699//b2339//
gspF	b3430//b1396//
gspM	b1565//b4380//
hisQ	b3650//b1779//b3213//
holC	b3224//b0013//b2497//b3972//
htpG	b3305//b1630//b3189//
hybC	b3772//b3724//
hybG	b1970//b1760//b0598//
hybO	b1293//b0028//b2418//
hydN	b4618//b2530//b0978//b2914//b0967//b0589//b1493//b4112//b2754//b3936//b2724//
hyfB	b1600//b0809//b2728//
hyfR	b0990//b3260//yrhC//b4147//b4027//
ibpB	b0396//b2080//
ileY	b0961//b0379//
ilvM	b3195//b0635//ybfG//b1751//b3964//
ilvN	b0368//b0796//
iscU	b3626//b0253//b4254//b3113//b0997//
iscX	b1512//b1950//b0406//
kdsD	b3771//b1552//
ksgA	b2143//b1698//
lacZ	b0575//b3690//b2818//
lar	b2167//b3616//
leuZ	b4249//b4126//b3741//b0473//
lldR	b0307//b0513//b4147//
lpxP	b1159//b2873//b0485//b3962//
lspA	b2319//b4033//b3296//
lsrR	b1817//b0573//b3035//b3555//b0751//b3310//b3001//b0820//
lyx	b0533//b4160//
malQ	b4014//b0357//b0075//b1195//b3615//ecpB//b1292//b2598//
manZ	b3013//b2976//b2530//
marR	b1394//b1576//
mcbA	b1343//b0861//
mcrA	b0356//b0050//
mdtJ	b1006//b0350//
menD	b3863//b2222//b3228//
metN	b0273//b0971//
mglC	b3400//b3035//b1155//
mhpB	b1352//b2600//
mhpF	b3001//b1198//
minD	b2909//b1890//
minE	b1392//b1760//
mnmG	b3739//b2930//
moaE	b3930//b2189//b2601//b4238//b1287//
mokB	b3265//b3115//
mpl	b0075//b3898//
mprA	b2462//b1228//b3711//
mraZ	b0486//b1200//b2499//b4015//
mrp	b0253//b3346//
murE	b1093//b4254//
nagB	b3686//b4027//
nanM	b2023//b1172//
napF	b2235//b2679//
napH	b2257//b0497//b0574//b4451//b2266//
narJ	b3377//b2456//b3312//
narZ	b0428//b1098//
nirD	b1901//b4187//b2140//
nrdG	b1938//b2522//
nrdI	b1140//b0087//b1430//b0428//
nrfC	b2825//b4202//b3189//
nuoB	b3967//b3362//
nuoN	b1484//b4102//b0908//b2756//b3785//b0023//b3031//b1082//b1554//b0795//b1449//
oppF	b0801//b1478//b2167//b2852//b0247//
paaI	b1009//b2757//b1646//ecpB//b0591//b1638//b3193//b1359//b0958//
pdhR	b3727//b2239//
pdxK	b0739//b0028//b0983//
pflB	b1075//b4302//
pgk	b3944//b1632//b2053//
pheL	b1888//b1062//
phnE	b2080//b1484//
phnL	b0245//b1526//b2197//b2828//
pntA	b3630//b1783//
polA	b3944//b2763//
potH	b4189//b2113//b1339//b3659//b1828//b3560//b4199//
ppa	b0922//b2146//
ppdD	b1776//b2421//
ppx	b0574//b2961//
proX	b0910//b4506//b1102//
prpD	b0829//b0660//b3893//
pspD	b0152//b2606//b2684//b0015//
pstB	b2125//b1074//
pstS	b3190//b2281//b0594//
purT	b3735//b1747//b2090//b3316//b1304//b2144//b0855//b2281//b2776//b3367//
putP	b2143//b3728//
puuR	b2828//b0896//b2455//b2572//
pyrI	b1487//b4376//b0734//b4328//b1819//b1395//
rbsK	b1000//b3261//b0082//b4143//b2444//
rcsD	b2856//b2880//
recQ	b3116//b3741//
relE	b0112//b3725//
