#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	argS//fadR//secD//fadM//
GO_0000023_6	rpoS//
GO_0000025_7	hyfR//
GO_0000027_7	acnA//mdtI//ddpX//ybaE//rlmC//hns//casB//rclC//frlB//yebK//yafQ//iclR//queC//
GO_0000028_7	matP//ldrA//yhcH//rnhB//insA-2//ybgP//zur//glmM//yceK//
GO_0000032_8	ybbY//
GO_0000041_8	tehA//fruB//pdeK//fdx//yehX//ygbI//mpaA//rffG//yggE//tyrB//ygiB//ybbN//zraS//zapA//npr//trkG//asnA//yghG//araG//waaA//metK//lldR//manX//rapA//atpD//yieL//vsr//mtlR//argT//yafO//moaB//ydhQ//rof//sucD//ydbK//fecD//glnQ//yraK//clpX//
GO_0000050_5	glpT//ispH//yagI//yneJ//folE//seqA//torS//
GO_0000053_5	nadC//
GO_0000096_5	ribC//rrrD//holA//iraD//hemF//ycjR//ilvE//acpS//pgpB//ycaO//mzrA//rhtB//ydfD//dcuR//yfeR//rfaH//cirA//aspA//pitB//tauB//uspC//
GO_0000097_6	yadK//ibaG//artP//fis//insE-1//thiE//holE//pdeK//hcaF//mrcB//thiC//ybiW//amiD//lasT//
GO_0000098_6	ydcR//pykF//pinE//yhaC//rffM//
GO_0000101_6	uhpT//sgbU//hisF//dcuA//topAI//nadC//abgB//gntP//dps//dmlA//yehX//norW//trmI//prfC//rplM//
GO_0000103_5	fes//bamA//ibsD//
GO_0000105_6	fimZ//sgbU//mepH//rfaQ//hypT//rodZ//plaP//yfaU//
GO_0000154_7	csgA//bluF//rpmB//rpoS//uxuB//rluC//metH//surA//frwC//yhbS//exuT//dhaM//yihP//infC//mukB//yijE//dhaM//chaC//cecR//mdtI//gntU//psd//mreB//nirD//miaB//pncB//hflX//mog//torR//wcaC//rmf//fimG//
GO_0000160_5	pppA//cydC//paaH//mak//tatE//ynjA//queC//menB//putA//hipA//glpG//rhsD//pflC//ssuA//yjjX//paaX//paaJ//kdpF//entS//ttdB//insB-2//galS//gltB//ispG//fruA//oppD//elfD//fimZ//yfeW//mukB//rsmJ//xylE//mmuM//purR//yciT//rsuA//yeiG//rlmE//rpiB//prfB//pinE//entB//cysB//
GO_0000162_7	yceO//dtpD//proX//speD//malK//pflB//rlmL//rplN//rssA//
GO_0000255_5	yggE//ydgA//glmS//mocA//yaiP//
GO_0000256_6	atoB//fadR//ypjD//rlmH//gatZ//
GO_0000270_7	truA//entH//patD//phnO//dedD//acpH//eamB//yehT//murC//hns//ynhG//hemA//yfdS//aaeR//ftsY//sgbE//nikE//ubiC//prlF//ftsB//fimF//insI4//yeeL//rhmD//hofM//clpA//pyrC//avtA//yggW//pitB//mepA//nac//ybbN//mcbA//poxB//ftsE//ldhA//yehA//uvrA//ybhG//puuA//djlC//zapE//macB//cstA//kdpA//rplP//topA//gmd//ybaO//yqiH//slyA//hisB//ybhP//lldR//chbA//gabP//menH//yqiG//yeaK//ugpE//acpS//pitA//
GO_0000271_6	ygiW//thyA//lepB//gapC//sapC//argG//aes//dtd//mepM//queD//actP//ydiV//rzoR//trmJ//fabD//hycH//alkA//satP//ygaZ//atpA//ymgC//narL//cpxA//cysC//frdD//insA-2//trmB//mdlB//yoeB//deoD//prpD//pepA//menE//ycfS//wza//apt//dnaX//nikD//mreC//waaS//miaB//apt//higA//purU//rplW//ravA//fadM//arfA//hyi//yaiV//
GO_0000272_6	yidP//nrdH//ralR//ydiK//yjjI//ycjQ//
GO_0000302_5	ldtB//yceO//pgaB//alsK//cysH//ygjK//trmA//yjjV//lyxK//bglF//rpsR//ybdR//mdtB//clpP//glpR//dbpA//phnM//rsmH//kdpF//purA//potI//pyrC//waaL//aceK//cydC//patA//evgA//yfcR//yibH//ruvA//pabB//
GO_0000303_6	purL//hisD//
GO_0000305_5	uxuA//dcuS//aaeA//
GO_0000372_11	lgoD//
GO_0000375_9	ptsH//
GO_0000376_10	ydjM//
GO_0000413_9	ptrA//glmS//miaA//mak//ssuB//bioP//cusF//pepT//
GO_0000451_7	rph//torZ//fnr//bioB//yaaU//
GO_0000453_8	ychF//yahB//wecA//ybbY//fepE//
GO_0000455_9	ydfH//sufA//yfdS//topAI//plsC//menI//pmbA//
GO_0000462_11	yraK//rplD//
GO_0000469_8	aaeR//
GO_0000470_10	pspF//
GO_0000478_9	priA//
GO_0000715_6	ycgR//
GO_0000716_7	paaX//
GO_0000724_8	fepE//
GO_0000725_7	intF//ydiZ//srkA//waaO//narK//glrR//
GO_0000726_7	nrdH//
GO_0000731_7	lon//zitB//hypC//pinR//rcnB//ycjR//yccX//
GO_0000737_7	yddM//
GO_0000738_7	yfdS//yggT//betT//
GO_0000746_4	cmoM//
GO_0000820_7	hflX//
GO_0000902_5	napD//
GO_0000910_4	phr//lsrC//adeP//tar//yfcV//bipA//mgsA//lasT//thrA//mdaB//livH//recA//yibT//yqiG//proB//ebgA//eptB//cca//
GO_0000917_6	glnE//fimB//gltD//thiP//crr//
GO_0000918_6	wrbA//yiaF//yhgF//yiaA//
GO_0000920_3	deoC//fdnI//yaaU//dbpA//panE//
GO_0000921_6	fkpA//
GO_0000966_8	yjjU//fecA//yceO//actP//
GO_0000967_10	fruK//hybC//mlc//
GO_0001101_4	trkA//soxS//ompA//lgt//hokB//yodD//thiM//ybgP//ftsI//fruB//yihX//yibF//yqhC//mazG//cirA//yhjX//ralR//cpdA//codB//dhaR//setB//mdtI//cptB//ycbU//mnmC//nagE//
GO_0001121_7	mqsA//hslO//
GO_0001123_8	uhpA//
GO_0001124_8	ampH//
GO_0001407_7	upp//yhaJ//ubiF//ycbU//
GO_0001505_4	nirD//atpC//agaA//yfaE//rsmI//macA//rzpD//yrbG//arnF//tsaD//rodZ//lolC//ymfA//sdhB//ilvA//yggE//
GO_0001510_5	mdtQ//kduI//prpB//eutR//ompC//acpT//norR//ldcC//cysB//dctA//alsK//nuoN//leuA//acpT//lolD//argF//cfa//rfaE//speA//hslR//ytfR//waaB//waaC//zipA//waaP//ilvE//soxR//yddM//tcyJ//ppiD//ispB//rng//rplR//exbD//ldtA//yjhB//ybaQ//asnC//nudC//yfiR//
GO_0001514_8	ybgP//
GO_0001522_7	kdpA//hybF//yhdH//pnp//rcnB//yidQ//ymjB//rpmC//guaC//ycaO//murC//rfaH//bssS//
GO_0001539_4	yheT//deoA//panB//gnd//yiaO//ydcS//yidP//amiD//treB//insK//ruvC//rhaB//flgM//msrP//potA//cyaY//viaA//pgl//kbaY//pabC//dgt//corA//yjfP//mcbA//fdhE//uidC//ybdH//secE//uraA//sgcX//kdpD//
GO_0001558_5	higB//rihB//yafC//flgG//pykF//mutS//hemL//puuE//
GO_0001561_6	yfgI//
GO_0001666_4	trmB//
GO_0001676_6	dsbG//narW//lpxM//
GO_0001680_11	cysZ//
GO_0001682_11	ppx//
GO_0001731_7	add//
GO_0001762_6	alkA//
GO_0001887_4	nudB//ubiG//mutY//
GO_0001896_5	accD//mhpT//hofM//priA//
GO_0001907_5	rpsS//ftsZ//degQ//yiaB//
GO_0001932_8	gudX//ptsN//
GO_0001934_9	zur//
GO_0002047_6	rep//chiP//
GO_0002097_8	glgX//sapA//yhhT//mraY//metN//gpp//gdhA//melB//tar//xanQ//recX//bisC//tomB//yhbX//essD//rimI//mprA//clpP//envZ//
GO_0002098_9	tauA//rlmB//arcA//ruvC//dnaA//fimE//lapB//lgoT//gpr//serB//rppH//rfaB//carA//
GO_0002099_9	yidQ//araB//
GO_0002100_9	kdpF//
GO_0002101_9	hicB//fimH//
GO_0002128_7	narH//apt//yfdK//dmlA//
GO_0002130_8	ftsB//
GO_0002131_9	osmF//
GO_0002132_9	ydeM//
GO_0002136_10	zraS//
GO_0002143_9	pheA//blr//yfcU//ribF//csgB//gadA//
GO_0002181_7	yidZ//zupT//
GO_0002183_5	tusC//
GO_0002184_8	yidE//
GO_0002188_6	chbR//
GO_0002190_6	truC//
GO_0002192_8	rpsE//
GO_0002252_3	yjiQ//wbbK//allD//dgoD//yhhY//amtB//perR//sucD//rsmF//frlC//
GO_0002790_6	gatD//yqgF//thiG//nagE//recG//cyoD//yjhP//
GO_0002937_9	ynfH//
GO_0002938_8	xerD//
GO_0002939_7	prkB//
GO_0002943_8	uvrB//
GO_0002949_8	maeA//yihT//chaC//otsA//
GO_0003333_7	yehZ//pepN//rpsT//tsaE//zipA//prpC//aroE//pabB//cysG//sfmF//appA//flgF//yjiA//dcuR//lgoR//seqA//thiI//ibpB//emrE//torD//narL//ettA//purN//ribD//afuC//yjhB//birA//ybcM//agaS//uhpB//ftsW//hipB//dinD//hybC//rihC//lpxM//gcvA//nrfD//rpsD//rpnD//rnhA//ivbL//fadH//paoC//pcnB//purR//potF//dsbD//gcvA//
GO_0005975_4	yphF//hycH//tusE//bcsQ//xapR//tadA//ycjW//tynA//citX//mhpD//yafN//pbpG//barA//fdnI//rnd//argB//pgaA//dnaX//hyfF//yphF//gabT//waaZ//yneE//clpP//chpS//fimD//corA//citX//iraP//ompR//cueO//vsr//afuB//cobS//msbA//hupA//frwB//ydjL//sodA//yggT//rcnB//ygeX//uof//lasT//argE//paaZ//aroA//nanR//ybjL//yiiM//mepH//rssA//mdh//rplP//wrbA//cobS//csrA//epmA//nuoB//narH//mdtG//rutD//vsr//iraM//frr//csdE//otsB//sbmA//dnaK//gatY//yagE//yafC//xseA//yebC//greB//chbB//dcd//yqiH//rplQ//fepE//ybiJ//yciE//panB//lsrR//puuA//puuP//ghxP//oxc//yfjV//ompN//csgA//gntP//ccmG//dsbD//yigB//tdcG//xisR//rplE//tolB//btuF//yggT//galR//eutB//speE//rseC//ycjW//bamA//gadC//araB//mgtL//rnpA//secF//lsrD//rsmH//sdaB//emrK//yjhB//dgoD//tktB//mnmE//citC//yqaA//sugE//ghoT//ldcC//yqeA//yddM//xanP//ubiG//yjjQ//accC//rlmL//wcaB//yfaL//cspC//marA//mdh//hscA//rplX//rplS//eutK//mhpC//betA//viaA//ygjK//yhcN//iscA//yjiR//atpG//ybiX//yhjC//glnD//ydaC//caiT//gcvH//ygcO//oppA//arnF//ibpB//bcsQ//nrdE//ibsB//dctR//ynbB//manY//ghrB//wzc//ompG//hemD//yjjB//blc//arsC//fimD//yiaL//melA//rapZ//tdcF//phoA//phoB//gmk//pfkB//cobS//dnaN//alkA//yehY//gatY//lptC//appA//elfC//ypdF//mioC//ecpR//gnsB//rfe//yiaT//mqsA//selD//scpC//mlaF//yebC//melB//gltB//fdhF//xdhB//nuoM//ubiE//ompT//rnlA//bdcA//pflB//deoD//bsmA//ftnA//hupB//cobU//lpoB//rne//alkA//carB//tdcE//torD//satP//lpxL//glsB//acrF//thiQ//yehU//grcA//crl//topB//envY//yfaU//ybdO//atpA//ygeX//gadW//flhE//alsA//hpf//ubiJ//truD//mtnN//nanK//shiA//waaA//ompN//arcC//rpnA//hns//ibpB//glvB//yehX//kbaY//ltaE//
