#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2750//b2821//
AcrR_neg	b3061//b4637//b2427//b1043//b3418//b2601//b4396//b3157//b0349//b4177//b0475//
Ada_neg	b2062//b1588//
Ada_pos	b2724//b4076//b0315//b4438//
AdiY_pos	b0571//b3092//b1746//b1225//b2206//b2820//b0082//b1737//
AgaR_neg	b2379//b2601//b1395//b1194//b3114//b3363//b3902//b2724//b1707//b3515//b2837//
AidB_neg	b3724//
AlaS_neg	b1552//
AllR_neg	b2167//b1023//b3081//b3071//b2407//b1762//b1222//b4005//b1859//
AllS_pos	b3008//b1926//b1622//
AlsR_neg	b1938//b3026//b0513//b2676//b2061//b0207//
AppY_pos	b3742//b2017//b4411//b2943//b0392//b0095//b0864//b0377//b1877//b2213//
AraC_neg	b2061//b0964//b0820//b3967//b3906//b0039//b0964//b0987//
AraC_pos	b0604//b1388//b0311//b1391//b0431//b3426//b3828//b1987//b2757//b4119//
ArgP_neg	b4468//
ArgP_pos	b3701//b0273//b1670//b0979//b3453//b2713//b1810//b1074//b1075//b3141//b2787//b2531//b1743//
ArgR_neg	b2150//b4042//b2075//b1476//b4192//b0038//b0225//b0348//b4321//b4458//b3601//b0795//b3905//b0733//b1003//b0349//b0697//b0676//b0342//b1744//b2424//b1016//b0234//b2342//b3916//b2904//b1237//b1390//b2560//b0892//b4567//b1484//b1245//
ArgR_pos	b1887//b2282//b0751//b3525//b1672//
ArsR_neg	b3480//b3506//b1441//
AscG_neg	b3008//b0811//b1410//b4382//b0507//
AsnC_neg	b1303//b0232//b1590//
AsnC_pos	b3528//
AtoC_pos	b1650//b4002//b0820//b0683//
BaeR_pos	b3478//b1303//b0618//b4471//b1857//b3605//b1092//b1851//
BasR_neg	b0570//b3452//
BasR_pos	b3904//b1987//b1488//b0565//b0678//b0039//b0475//b0293//b1078//b1562//b1297//
BetI_neg	b2093//b1575//b0593//b1715//
BirA_neg	b2604//b3013//b0082//b2751//b0764//
BluR_neg	b2234//b1716//b3613//b1609//
BolA_neg	b4153//b2819//
BolA_pos	b4383//b1075//
CadC_pos	b1160//b0484//b1452//
CaiF_pos	b3956//b0777//b1587//b0931//b4312//b0857//b1109//b4138//b3566//b0571//
Cbl_pos	b2202//b3132//b0892//b3125//b1283//b0622//b2465//b4438//b3528//
CdaR_pos	b1081//b4159//b2288//b0862//b4097//b1074//b3912//b4101//b4192//b0894//
CecR_neg	b0726//b1129//b2980//b2203//b1244//
ChbR_neg	b3926//b3513//b3908//b1264//b2927//b4100//
ChbR_pos	b4618//b0428//b1880//b0431//b1129//b3688//
ComR_neg	b3613//
CpxR_neg	b1669//b4313//b2481//b2379//b3784//b2542//b3501//b2059//b0462//b3478//b4393//b1517//b1221//b2662//b3491//b3077//b0604//b1521//b3169//b4476//b3428//b0779//b0727//b4098//
CpxR_pos	b0575//b0764//b3186//b1732//b0075//b0118//b0728//molR_1//b3859//b1713//b0353//b3506//b3364//b2942//b3688//b1819//b2076//b2975//b4118//b0979//b3509//b2096//b1257//b2059//b2570//b0066//b1516//b1183//b1227//b0675//b2242//b3114//b3077//b3645//b2758//b2913//b3363//b3578//b4268//b3700//b0336//b1080//b1023//b1790//b4481//b4312//
Cra_neg	b1260//b2000//b0040//b3026//b2367//b1973//b3409//b2127//b3094//b0089//b3327//b0343//b3036//b1164//b1851//b2720//b4365//b2152//b4458//b1306//b4323//b0178//b0086//b2980//b3567//b3583//b0152//b0031//b2722//b3432//b2369//b1132//b4079//b4260//b1092//b1609//b1475//b4367//b2127//b0777//b0464//b3116//b2488//b4026//b2787//b0314//b4035//b0856//b3478//b0068//b1880//b3117//b1877//b2127//b4093//b0812//b4522//b0088//b1081//
Cra_pos	b2372//b0733//b2151//b0351//b2239//b1987//b0683//b1004//b0166//b3062//b2465//b4100//b0934//b0564//b2285//b1578//b4071//b0150//b4025//b3124//b4266//b4030//b4042//
CreB_neg	b1517//b2997//b1791//
CreB_pos	b2278//b3126//
CsgD_neg	b2715//b1036//b3934//b4085//b3579//b0226//b2824//b0595//b3924//b2344//b4159//b2601//b2923//b2724//b1387//
CsgD_pos	b3680//b3186//b1902//b3223//b2560//b4139//b0928//b0061//b2718//b2058//b1484//b1937//b2429//
CsiR_neg	b2942//b2582//b3057//b1810//b3269//
CspA_pos	b2169//b0688//
CueR_neg	b3701//b4019//b0226//b1923//b0428//
CueR_pos	b1395//b2061//
CusR_pos	b1288//b1247//b0450//b4197//b1299//b1676//b3331//b2366//b0578//molR_1//b3859//b0979//
CynR_neg	b3938//
CynR_pos	b4698//b3495//b2553//
CysB_neg	b3113//b1062//b3521//b1222//b3327//b0343//b4036//
CysB_pos	b2750//b1243//b0384//b2223//b1263//b3368//b2323//b1568//b0314//b0964//b0687//b0074//b2716//b2660//b1385//b0778//b4025//b4062//b2277//b1716//b2728//b2825//b1921//b2529//b1781//
CytR_neg	b3916//b2707//b2168//b1562//b1061//b3583//b3934//b0903//b4036//b1949//b4265//b2508//b4131//
Dan_pos	b4117//b0970//b1532//b4381//
DcuR_pos	b3934//b0620//b1923//b3067//b2726//b1258//b2750//b2760//b3661//
DeoR_neg	b4323//b2715//b0851//b0811//sroC//b3567//
DhaR_neg	b3083//
DhaR_pos	b1512//b0156//b2617//
DicA_neg	b3566//b3911//b2224//b1519//b3624//b0950//b1277//b1408//
DinJ-YafQ_neg	b4599//b1396//b1222//
DnaA_neg	b4592//b3115//b1591//b2492//b1132//b1591//b4101//b2551//b4095//b2560//b0574//
DnaA_pos	b3368//b1101//b1747//b3908//b4115//b3476//b0887//
DpiA_neg	b2375//
DpiA_pos	b3093//b1540//b2223//b1891//b4115//b3067//b0383//b1165//b4511//b0874//
DsdC_neg	b0619//
DsdC_pos	b2754//b1941//
EbgR_neg	b1973//b2029//
EnvR_neg	b0367//efeU_2//
EnvY_pos	b1201//b2371//
EvgA_pos	b0450//b3507//b3645//b2195//b1578//b2280//b4439//b1497//b4160//b3744//b3491//b2375//b0463//b1480//b2669//b3723//b4192//b1641//b4095//
ExuR_neg	b4324//b2707//b0891//b2205//b3661//b0062//b4044//b2660//b3091//
FabR_neg	b1400//b1247//
