# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May 16 13:32:52 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene_strong.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AcrR	marA//marB//marR//soxR//soxS//
Ada	ada//aidB//alkA//alkB//
AdiY	adiA//gadA//gadB//gadC//gadX//gltB//gltD//gltF//
AgaR	agaA//agaB//agaC//agaD//agaI//agaR//agaS//agaV//agaW//kbaY//kbaZ//
AidB	aidB//
AlaS	alaS//
AraC	araA//araB//araC//araD//araE//ygeA//
ArgP	dapD//dnaA//dnaN//gdhA//lysA//lysC//lysP//nrdA//nrdB//recF//yfaE//
ArgR	gltB//gltD//gltF//lysO//
AtoC	atoA//atoB//atoD//atoE//
BaeR	acrD//
BasR	csgD//csgE//csgF//csgG//cspI//dgkA//fimB//hha//putA//qseB//qseC//tomB//yrbL//
BirA	bioA//bioB//bioC//bioD//bioF//
BluR	ariR//ycgZ//ymgA//ymgC//
CadC	cadA//cadB//
CaiF	caiA//caiB//caiC//caiD//caiE//caiT//fixA//fixB//fixC//fixX//
Cbl	ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//
CecR	cecR//ybhF//ybhG//ybhR//ybhS//
ChbR	chbA//chbB//chbC//chbF//chbG//chbR//
ComR	bhsA//
CpxR	acrD//aroG//baeR//baeS//cheA//cheW//cpxA//cpxP//cpxQ//cpxR//csgD//csgE//csgF//csgG//cyaR//dgcZ//dsbA//efeU_1//efeU_2//ftnB//hha//ldtC//ldtD//marA//marB//marR//mdtA//mdtB//mdtC//mdtD//motA//motB//mzrA//ppiA//rdoA//rprA//spy//tomB//tsr//yccA//yebE//yqjA//
Cra	aceA//aceB//aceK//crp//eda//edd//eno//epd//fbaA//hypF//icd//mtlA//mtlD//mtlR//pck//pfkA//pgk//
CsgD	csgD//csgE//csgF//csgG//flgM//flgN//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//nlpA//wrbA//yccJ//yccT//yhbS//yhbT//
CspA	hns//
CueR	copA//cueO//
CusR	cusA//cusB//cusC//cusF//cusR//cusS//
CynR	cynR//cynS//cynT//cynX//
CysB	cbl//cysA//cysM//cysP//cysU//cysW//ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//
CytR	cdd//cytR//deoA//deoB//deoC//deoD//nupG//ppiA//rpoH//tsx//udp//
Dan	ttdA//ttdB//ttdR//ttdT//
DcuR	dctA//dcuB//dpiA//dpiB//frdA//frdB//frdC//frdD//fumB//
DicA	dicC//ydfW//ydfX//
DinJ-YafQ	cspE//dinJ//yafQ//
DnaA	aldA//dnaA//dnaN//guaA//guaB//nrdA//nrdB//polA//recF//yfaE//yjeV//
DpiA	citC//citD//citE//citF//citG//citX//dpiA//dpiB//exuT//mdh//
EvgA	gadE//gadF//mdtE//mdtF//
ExuR	exuR//lgoR//
FadR	fabB//fabD//fabG//fabH//fadD//fadE//fadH//fadI//fadJ//iclR//sroD//
FeaR	feaB//tynA//
FhlA	fdhF//fhlA//hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//hydN//hypA//hypB//hypC//hypD//hypE//hypF//
FlhDC	flgB//flgC//flgD//flgE//flgF//flgG//flgH//flgI//flgJ//flgK//flgL//flhA//flhB//flhE//fliA//fliD//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//fliL//fliM//fliN//fliO//fliP//fliQ//fliR//fliS//fliT//fliZ//gltI//gltJ//gltK//gltL//sroC//tcyJ//yecR//
FliZ	csgD//csgE//csgF//csgG//flhC//flhD//gadB//gadC//gadE//gadF//hdeA//hdeB//mdtE//mdtF//mlrA//osmY//pdeR//yhiD//
Fur	crl//entS//fepC//fepD//fepG//fhuA//fhuB//fhuC//fhuD//ftnA//fur//garK//garL//garP//garR//gspC//gspD//gspE//gspF//gspG//gspH//gspI//gspJ//gspK//gspL//gspM//gspO//nohA//oppA//oppB//oppC//oppD//oppF//pyrC//rnpB//sufA//sufB//sufC//sufD//sufE//sufS//tfaQ//ydfN//
GadE	gadB//gadC//gadE//gadF//gadW//gadX//gltB//gltD//gltF//mdtE//mdtF//rcsA//
GadE-RcsB	adiC//aslB//cadA//cadB//dctR//gadA//gadX//slp//yhiM//
GadW	gadA//gadB//gadC//gadX//
GadX	btuB//gadA//gadB//gadC//gadX//murI//
GalR	galE//galK//galM//galR//galT//
GalS	galE//galK//galM//galT//
GlpR	glpA//glpB//glpC//glpD//glpF//glpK//glpQ//glpT//glpX//
GlrR	glmY//rpoE//rseA//rseB//rseC//
HU	galE//galK//galM//galT//
HdfR	flhC//flhD//gltB//gltD//gltF//
HigA	higA//higB//
HigB-HigA	higA//higB//
HipAB	hipA//hipB//mazE//mazF//relA//
HipB	fadH//hipA//hipB//
HypT	cydA//cydB//metI//metN//metQ//
IclR	aceA//aceB//aceK//iclR//
IscR	erpA//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//iscA//iscR//iscS//iscU//napA//napB//napC//napD//napF//napG//napH//nfuA//rnlA//rnlB//sufA//sufB//sufC//sufD//sufE//sufS//ydiU//
KdpE	kdpA//kdpB//kdpC//kdpF//
LeuO	bglB//bglF//bglG//bglJ//cas1//cas2//casA//casB//casC//casD//casE//leuO//yjjQ//
LexA	dinF//lexA//ptrA//recA//recB//recD//recX//ruvA//ruvB//umuC//umuD//uvrB//
LrhA	fimE//flhC//flhD//lrhA//
LsrR	lsrA//lsrB//lsrC//lsrD//lsrF//lsrG//lsrK//lsrR//tam//
MarA	acnA//fumC//hdeA//hdeB//inaA//nfsA//nfsB//pqiA//pqiB//purA//rimK//rob//sodA//ybjC//ybjN//yhiD//zwf//
MatA	ecpA//ecpR//flhC//flhD//fliA//fliC//fliZ//tcyJ//
McbR	mcbA//yciE//yciF//yciG//
MelR	melA//melB//melR//
MetJ	metC//metE//metR//
MetR	glyA//hmp//metE//metR//
Mlc	crr//ptsG//ptsH//ptsI//
MlrA	cadC//csgD//csgE//csgF//csgG//ibaG//obgE//rplU//rpmA//yhbE//
MngR	mngA//mngB//mngR//
ModE	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//deoA//deoB//deoC//deoD//dmsA//dmsB//dmsC//hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//moaA//moaB//moaC//moaD//moaE//modA//modB//modC//napA//napB//napC//napD//napF//napG//napH//narL//narX//
MprA	emrA//emrB//mprA//
MqsA	csgD//csgE//csgF//csgG//cspD//mqsA//mqsR//rpoS//
MurR	murP//murQ//
Nac	nac//
NagC	glmS//glmU//nagA//nagB//nagC//nagE//umpH//
NanR	fimB//nanA//nanC//nanE//nanK//nanM//nanS//nanT//yhcH//yjhB//yjhC//
NarL	aspA//dcuA//dcuR//dcuS//fdhF//focA//frdA//frdB//frdC//frdD//hcp//hcr//narG//narH//narI//narJ//narK//nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//ogt//pflB//ydeP//ydhT//ydhU//ydhV//ydhW//ydhX//ydhY//
NarP	nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//ydeP//ydhT//ydhU//ydhV//ydhW//ydhX//ydhY//
NhaR	pgaA//pgaB//pgaC//pgaD//
NikR	nikA//nikB//nikC//nikD//nikE//nikR//
NimR	nimR//nimT//
NrdR	nrdA//nrdB//nrdD//nrdE//nrdF//nrdG//nrdH//nrdI//yfaE//
NtrC	glnA//glnG//glnH//glnL//glnP//glnQ//relA//rpoE//rseA//rseB//rseC//
OmpR	bolA//csgD//csgE//csgF//csgG//dtpA//micF//ompC//ompF//pgaA//pgaB//pgaC//pgaD//
OxyR	ahpC//ahpF//dsbG//fhuF//flu//fur//grxA//hcp//hcr//hemH//isrC//katG//nfsA//oxyR//oxyS//rimK//sufA//sufB//sufC//sufD//sufE//sufS//trxC//uof//ybjC//ybjN//ychF//
PaaX	paaX//paaY//
PdeL	pdeL//
PdhR	cyoA//cyoB//cyoC//cyoD//cyoE//ndh//
PepA	carA//carB//pepA//
PgrR	mpaA//tyrR//ycjF//ycjG//ycjX//ycjY//ymjC//ymjD//
PhoB	cusA//cusB//cusC//cusF//cusR//cusS//eda//feaR//mipA//phnC//phnD//phnE_1//phnE_2//phnF//phnG//phnH//phnI//phnJ//phnK//phnL//phnM//phnN//phnO//phnP//phoB//phoH//phoR//prpR//psiE//sbcC//sbcD//ugpA//ugpB//ugpC//ugpE//ugpQ//ydfH//yedX//yegH//yhjC//
PhoP	borD//gadW//hdeA//hdeB//hdeD//hemL//iraM//mgrB//mgtA//mgtL//nagA//slyB//treR//yhiD//
PspF	pspG//
PurR	purA//pyrC//
PutA	putA//putP//
PuuR	puuA//puuB//puuC//puuD//puuE//puuP//puuR//
QseB	qseB//qseC//
RcdA	asr//bluF//csgD//csgE//csgF//csgG//sulA//yagK//ydeI//
RclR	rclA//rclB//rclC//
RcnR	rcnA//rcnB//rcnR//
RcsAB	flhC//flhD//
RcsB	bdm//gadA//gadX//osmC//rpoE//rseA//rseB//rseC//sra//ydeP//
RelB	hokD//relB//relE//
RelB-RelE	hokD//relB//relE//
RhaS	rhaR//rhaS//rhaT//
Rob	acrA//acrB//fumC//inaA//marA//marB//marR//micF//rob//zwf//
RstA	asr//csgD//csgE//csgF//csgG//
RutR	gadW//gadX//
SdiA	ftsA//ftsQ//ftsZ//
SgrR	setA//sgrR//sgrS//sgrT//sroA//tbpA//thiP//thiQ//
SlyA	hlyE//
SoxR	fumC//soxR//soxS//
SoxS	acnA//acrA//acrB//fldA//fpr//fumC//fur//inaA//marA//marB//marR//nfsA//nfsB//ompN//pqiA//pqiB//ptsG//ribA//rimK//rob//soxS//uof//waaY//waaZ//ybjC//ybjN//ydbK//zwf//
StpA	fau//ssrS//
SutR	cysE//sutR//
TorR	tnaA//tnaB//tnaC//
TreR	treB//treC//
TrpR	aroH//aroL//aroM//mtr//trpA//trpB//trpC//trpD//trpE//trpL//trpR//yaiA//
TyrR	aroG//aroL//aroM//aroP//folA//mtr//tyrB//yaiA//
UlaR	ulaA//ulaB//ulaC//ulaD//ulaE//ulaF//ulaG//
UvrY	csrB//csrC//luxS//uhpT//ydeP//
UxuR	gntP//lgoR//uxuA//uxuB//
XylR	xylA//xylB//xylF//xylG//xylH//xylR//
