#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fruA//gadA//
AcrR	sucC//ycgR//fliG//umpH//phnO//tsr//metI//mraZ//mngR//caiT//hybG//
Ada	lldD//ynjI//pheS//bdcA//
AdiY	yccT//nrdA//metN//dmsA//pgaA//paaY//argA//bhsA//
AgaR	pyrD//kdpC//dsdA//omrA//ydbD//lysA//deoC//glxK//sbcC//glpX//glcC//
AidB	ygeH//
AlaS	metR//
AllR	sgbU//ykgM//infB//gadY//idnR//fliO//mpl//gspI//aceB//
AllS	rffT//gspH//ppdC//
AlsR	hyfE//lsrC//wecC//melR//acrB//artI//
AppY	hycA//caiB//atoB//narX//hisP//nuoM//fadH//potF//mazG//ttdA//
AraC	fhuC//fhuC//relB//cusF//aceA//sdhA//rutF//aceF//ecpA//yhcH//nadB//purM//fadE//dinI//
ArgP	sulA//oppF//umuC//prpB//flgI//nuoK//dnaA//hemL//gspI//feaR//melA//glnA//metR//bdcA//
ArgR	gspD//fabH//hybB//iscA//mdtE//waaZ//mngR//lpd//ybhR//ftnB//ldtB//accD//rffC//mgtL//murC//yjbF//aroL//ybjN//uvrA//osmY//hmp//torA//hisJ//mdh//ybjC//ddpF//dkgA//accA//gntK//purB//potF//fhuF//glcC//cysK//allS//gatD//lrp//cysM//
ArsR	mdtC//rdoA//wecB//
AscG	wecE//yafN//cusF//yjhB//yhjC//
AsnC	cysH//rpmA//ppdC//aroH//
AtoC	nmpC//ycjY//fabI//tbpA//
BaeR	ydeM//gcvT//casB//hyfA//sroD//ybaS//yidL//dcuB//
BasR	moaA//feoB//baeR//puuE//napH//rpoE//garD//glpT//hyfR//fepA//gspJ//glxK//nikD//
BetI	patD//gpmM//dinI//recB//
BirA	ytfE//ybdN//oppF//hcaE//dcuR//
BluR	lgoR//gntK//marR//nuoA//
BolA	cysJ//alkA//
CadC	dhaM//nusA//aroP//
CaiF	malS//sgrT//fliJ//ugpE//yfaE//cysJ//metN//purA//metH//glpT//
Cbl	gltF//trpB//flgD//dmsB//melR//glpB//csgG//potF//nuoK//
CdaR	yhjA//ssb//hypA//pqiB//ygiZ//ogt//setA//tynA//soxR//agaR//
CecR	ymjD//yeaG//oppD//recX//dinI//
ChbR	fabA//prpE//pstA//pnuC//recB//nikR//
ComR	rpsO//
CpxR	flhD//skp//efeU_1//yciW//lpd//rtcA//nusA//rpiR//tsx//bacA//murP//flgK//hipA//atoD//zraP//ppiD//nupG//ccmG//aceF//gatZ//yecR//garK//srlB//phnN//glnL//torD//trpR//nanC//flhE//aroF//dcuB//flgA//csrB//wzb//idnT//mntH//flgH//glcF//uxuA//higB//nrdE//znuA//copA//pepA//napA//lrhA//dcuB//trpC//mngR//yedX//tpiA//sucD//flu//idnD//ryhB//ftsW//sgrT//katG//nuoJ//kdpC//uspA//flgJ//nuoA//malM//pgm//glnA//paaZ//fepC//tnaA//dinG//
