# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	alkA//hemH//
Ada_neg	hcaE//epd//
Ada_pos	wzb//murF//astE//hyaA//
AdiY_pos	slt//ulaE//argI//nagB//
AgaR_neg	sucA//
AidB_neg	pgaC//
AlaS-L-alanine_neg	phr//
AllR-allantoin_neg	cysK//sbcD//caiB//fau//gatZ//waaY//
AllS-allantoin_pos	astC//bioD//glmS//
AlsR_neg	cysG//murD//lyxK//
AppY_pos	araD//pgaC//
AraC-arabinose_neg	glgA//rtcB//katE//rsmH//gadB//
AraC-arabinose_pos	tdcE//argC//phnL//lsrK//idnO//metA//
AraC_neg	atoD//puuD//paaG//
AraC_pos	metC//astB//ogt//
ArgP-arginine_neg	
ArgP-arginine_pos	wecB//
ArgP_pos	glnA//astA//hemL//gcvT//phoA//gadB//glgX//speG//
ArgR-L-arginine_neg	lsrG//frdD//uxaA//fucA//gcvT//cysC//paaB//cysG//dhaK//pgaC//nrdD//mraY//garR//betA//rutA//ribA//umuC//malP//
ArgR-L-arginine_pos	glcD//citC//rtcA//gntK//sucD//
ArsR_neg	phnI//ssuE//
AscG_neg	dhaL//accD//
AsnC_neg	fadA//
AsnC_pos	dkgA//
AtoC-Phosphorylated_pos	purA//prpB//sgbH//
BCCP_neg	umuD//
BaeR-Phosphorylated_pos	tnaA//mhpD//
BasR-Phosphorylated_neg	rfe//
BasR-Phosphorylated_pos	adiA//glpD//
BetI_neg	acnA//trpB//hyaB//
BirA-biotinyl-5-adenylate_neg	ynfH//narH//argF//nrfA//pagP//
BluR_neg	
BolA_neg	atoB//mhpF//
BolA_pos	bacA//psd//
BtsR-Phosphorylated_pos	gpmA//
CadC_pos	fadH//pflB//sodA//
CaiF-L-carnitine_pos	entB//nanA//argA//dhaK//yedX//
Cbl_pos	recB//rhaD//pspE//purF//sgbH//
CdaR_pos	glk//talA//betB//nrfD//sbcD//pflB//gnd//pdeR//gntK//
CecR_neg	katE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	arsC//citC//mhpC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	lysA//citX//epd//
ChbR_neg	phnO//cysH//folA//
ChbR_pos	xylB//uxaA//ulaF//
ComR_neg	
CpxR-Phosphorylated_neg	frdD//cynS//moeB//
CpxR-Phosphorylated_pos	murI//yeaG//fucO//lsrG//rhaD//pyrC//glk//uxuA//aspC//moaE//lacZ//phnH//puuB//cysJ//nrfC//hemL//murG//puuC//
Cra_neg	aceB//sucC//ulaG//nemA//purA//eno//ada//citD//phr//cysH//narG//fucU//aroH//idnO//gatY//ubiX//mhpE//nagB//fadA//metE//nrfA//purC//folA//sbcD//nrdA//hycG//yfdE//uvrA//hcaE//ndh//lysC//araB//nrdD//leuD//puuD//bioC//rbsD//fbaB//ydcS//pagP//sdhD//purA//rfe//yqhD//glgP//
Cra_pos	oxc//fadM//dapB//dmsC//lysC//malP//metH//mnmG//sucA//carB//astA//galK//waaY//deoB//fadE//katE//rutC//
CreB-Phosphorylated_neg	ruvA//
CreB-Phosphorylated_pos	eno//
CsgD_neg	xylA//gutQ//
CsgD_pos	dmsA//idnK//garK//
CsiR_neg	ftnA//gatD//entH//pheT//
CspA_pos	deoD//
CueR-Cu_neg	paaB//argC//talA//
CueR-Cu_pos	gutQ//astA//
CusR-Pasp_pos	napB//dgcC//pgpC//malQ//
CynR-cyanate_pos	mhpA//pflB//metH//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gpmM//malS//nirD//
CysB-O-acetyl-L-serine_pos	nemA//torA//tdcD//fabA//glcE//wzc//fabH//murI//entB//betB//treC//gltB//
CysB_neg	
CysB_pos	yfdE//glcE//
CytR_neg	nrdA//ybjG//sucD//mnmG//yeaG//srkA//nfsA//fadD//nagA//astA//
Dan-L-tartrate_pos	narI//tyrA//
DcuR-Phosphorylated_pos	carA//nirB//paaA//ppiA//
DeoR_neg	pdeH//ddlB//edd//metK//argG//idnO//
DhaR_neg	
DhaR_pos	ugpQ//
DicA_neg	
DinJ-YafQ_neg	pspE//
DnaA-ATP_neg	hcaF//dhaM//narH//prs//luxS//
DnaA-ATP_pos	rnpB//lyxK//prpD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	recD//allD//alkB//bacA//mhpA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	waaH//xylA//
EbgR_neg	
EnvR_neg	ssuE//accD//
EnvY_pos	gadA//dhaK//
