# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygaP//
aas_lplT	yfcG//
abgABT_ogt	fumA//paaJ//mrdA//
abpAB	
accBC	nrfA//ugpQ//
aceBAK	torZ//napB//glf//
aceEF	puuA//malP//truD//
ackA_pta	glyQ//paoA//
acpP_fabF	mutY//
acrAB	rlmE//adhE//
acrEF	trmL//
acs_yjcH_actP	pbpC//gutQ//
ada_alkB	epmC//paoC//
agaS_kbaY_agaBCDI	menE//
ahpCF	mcrA//
alaA_yfbR	selB//mtgA//
alaWX	
allDCE	rutC//idnO//metA//
alsBACE	dhaK//pyrE//
amiA_hemF	araB//ogt//
ampDE	eda//
ansA_pncA	accB//proC//prpE//
apaGH	thiM//
appCBXA	yciA//dgcP//
araBAD	oxc//alsE//nudF//
araE_ygeA	rffC//
araFGH	sdaA//
argCBH	nanK//apt//recF//
argT_hisJQMP	insI-1//curA//
argX_hisR_leuT_proM	
arnBCADTEF	folM//caiA//aspC//ilvG_1//fucI//
aroF_tyrA	yqjG//yieF//
aroKB_damX_dam_rpe_gph_trpS	fbaA//glyA//glpE//polA//astA//pyrB//
aroL_yaiA_aroM	ynfH//
arpB_1B_2	
arsRBC	dgcP//ribE//
artPIQM	yfbR//
ascFB	mpaA//rsmG//
asnC_mioC	
asnC_mioC_mnmG	alkA//
aspA_dcuA	hisG//glyQ//
astCADBE	mutM//mak//moaD//xdhB//lyxK//
atoDAEB	moaD//acpH//lplA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	bglB//dmsA//rlmA//malZ//ribF//rnd//
bamB_der	panE//
basRS	
bcsABZC	cdd//nudE//
bcsBZ	dcd//mrcB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	panD//frdC//
bfd_bfr	glmS//
bglGFB	poxB//rnpA//
bglH_yieLK	
bioBFCD	ubiX//sdaA//cadA//betB//
brnQ_proY	ppiA//mocA//
btuB_murI	tdcE//sucD//
btuCED	pdeL//dgcZ//
cadBA	katE//fumC//
caiCDE	rfbB//yeaG//
caiTABCDE	ppiC//pgpB//aceF//uxaB//yqjH//
carAB	aspA//
casABCDE12	fabB//
casDE12	ravA//
cbpAM	
cbrBC	
ccmABCDEFGH	glgA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	torC//dnaQ//mutL//
chiP_ybfN	hisS//
chpSB	bioF//
citCDEFXG	yjcS//ynfG//pssA//
clpPX	glpA//hemB//ilvG_1//yeaE//
clpX_lon	folX//hinT//hypF//
clsA_yciU	nth//
cmk_rpsA	rlmE//
cmoM_mukFEB	
cmtBA_yggPFDC	cpdA//gstB//
coaE_zapD_yacG	fadM//
cobUST	trpE//aceB//ilvM//
codBA	frlC//lacZ//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	tcdA//
csgBAC	
csgDEFG	dapA//
csiD_lhgO_gabDTP	bacA//scpC//narZ//ftnA//
cusCFBA	alaS//
cusRS	
cvpA_purF_ubiX	slt//arnB//
cydAB	yniC//
cydDC	fabD//
cydX_ybgE	rnb//
cynTS	fsaB//paaG//
cynTSX	ilvH//thiL//scpC//
cyoABCDE	yeaG//pdxA//
cysDNC	pdeL//phnH//
cysJIH	ghrB//cmoA//rlmM//
cysPUWAM	tktA//waaS//tsaB//
dadAX	gloA//tnaA//
damX_dam_rpe_gph_trpS	sthA//dapD//garR//argF//
dam_rpe_gph_trpS	lldD//frdA//avtA//pyrD//
dapA_bamC	mog//
dapE_ypfN	fruK//
dcm_vsr	waaS//
dcuB_fumB	nrfA//sdhB//
dcuSR	
dcyD_tcyLN	mtgA//bioA//
ddpXABCDF	yccX//
def_fmt	ogt//lpxP//
degQS	suhB//bglX//
deoABD	gnd//adk//mhpB//
deoBD	tdcD//idnD//
deoCABD	purC//lldD//rpiB//yneH//
dgoRKADT	trmD//yhhW//yciV//ilvN//
dhaKLM	thiC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	paaY//plsB//
dinJ_yafQ	lpxK//
dksA_gluQ	iaaA//
dmsABC	lgoD//
dnaAN_recF	udp//
dnaK_tpke11_dnaJ	nrdF//
dnaN_recF	sdhA//
dnaTC	
dnaTC_yjjA	
dosCP	orn//pncB//
dpiBA	
dppABCDF	pgi//
dsbC_recJ_prfB	leuC//nanE//
dsbD_yjdC	
dsdXA	lpxB//paaE//
dusB_fis	qor//
dut_slmA	cpdB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	glcE//nrfA//
efeOB	murG//
efeU_1U_2	
elbB_mtgA	accC//
elfDCG_ycbUVF	
emrKY	yibQ//
entCEBAH	fucO//rnb//torY//nrfB//pdxJ//mraY//
envY_ompT	yggF//
epd_pgk	clsB//rsmH//
epd_pgk_fbaA	queF//dmsC//yfbT//
essD_rrrD_rzpD	hflX//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rhaA//
eutHA	
eutNEJG	
eutSPQTDM	etk//
evgAS	
exbBD	
fabDG_acpP	pldB//yfdR//
fabG_acpP	gstB//
fabHDG	def//citX//tnaA//
fabR_yijD	
fadBA	recG//miaA//
fadD_sroD	yiaK//
fadIJ	nudE//hisD//
fdnGHI	
fdoGHI_fdhE	wrbA//
fdrA_ylbEF_ybcF	rnd//
fecABCDE	ppiB//aspC//
fecIR	
feoABC	tyrB//
fepA_entD	araD//yidA//truA//
fepDGC	sucB//
fes_ybdZ_entF_fepE	cysN//acs//menD//
fetAB	
fhuACDB	paoB//aroH//
ficA_fic_pabA	entH//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	insI-3//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	ilvM//ldhA//
folC_dedD	gltB//
folD_ybcJ	dgcC//
folE_yeiB	dgcC//
folP_glmM	nrdE//aroK//
folX_yfcH	tam//
frdABCD	hflX//
frlABCDR	pgi//acpT//hisC//truB//
frmRAB	nudG//malY//
fruBKA	allE//rluA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	plsC//fumC//
ftsAZ	
