#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b4331//
C0299	b3297//
C0362	b0858//
C0465	b0416//
C0614	b0541//
C0664	b3469//
C0719	b0454//
IS128	b2465//
aaeR	b0937//
aaeXAB	b4060//ficA//b0373//
aas-lplT	b1132//b4088//
aat	b2331//
abgABT-ogt	b4347//b4246//b4162//b1232//
abgR	b2696//
abpAB	b2900//b2160//
abrB	b4248//
accA	b2911//
accBC	b0402//b1198//
accD	b0996//
aceBAK	rhsE//b3491//b2737//
aceEF	b3166//b3182//
aceK	b2491//
ackA	b0062//
ackA-pta	b4034//ygeN//
acnA	b3298//
acnB	b3345//
acpH	b3188//
acpP	b1658//
acpP-fabF	b0175//b2738//
acpT	b2469//
acrAB	b0326//b1962//
acrB	b2791//
acrD	b0962//
acrEF	b3702//b0789//
acrR	b1281//
acrZ	b0953//
acs-yjcH-actP	b0748//b4585//b2193//
actP	b3386//
ada-alkB	b2789//b2288//
add	b0524//
adeD	b3783//
adeP	b4385//
adeQ	b4022//
adhE	b4246//
adhP	b0917//
adiA	b1466//
adiC	b4134//
adiY	insAB-5//
adk	b0615//
aegA	b1093//
aer	b3118//
aes	b0208//
agaR	b1521//
agaS-kbaY-agaBCDI	b2835//b2195//b4482//b1138//b2452//gapC_1//
agp	b3403//
agrA	b3346//
agrB	b3038//
ahpCF	b3494//b0576//
ahpF	b4060//
ahr	b1116//
aidB	b0067//
ais	b3347//
alaA	b2074//
alaA-yfbR	b3879//b0886//
alaC	b1880//
alaE	b2929//
alaS	b0321//
alaWX	b0244//b1757//
aldA	b1128//
aldB	b4239//
alkA	b2730//
alkB	b4535//
allA	b3343//
allDCE	b0901//b0852//b3242//
allR	b2169//
allS	b4022//
alpA	b3143//
alr	b1811//
alsBACE	b2445//b0053//b0151//b2432//
alsK	b2076//
alx	b4171//
amiA-hemF	b0166//b3917//
amiC	b1445//
amn	b2201//
ampC	b3028//
ampDE	b2488//b1187//
ampG	b4415//
ampH	b4475//
amyA	b0824//
anmK	b1330//
ansA-pncA	b4385//b0356//
ansB	b3039//
ansP	b2476//
apaGH	b2566//b1187//
aphA	b1700//
appA	b0167//
appCBXA	b2964//b2623//b0790//yncK_2//
appY	b2720//
apt	b4125//
aqpZ	b4078//
araBAD	b4058//b1065//b1559//
araC	b0867//
araE	b1156//
araE-ygeA	b0491//b2342//
araFGH	b1680//b1702//b4017//
araJ	b3704//
arcA	b0181//
arcB	b4109//
arcZ	b1657//
arfA	b2756//
argA	b0089//
argCBH	b1539//b2067//b0267//
argD	b2059//
argE	b1987//
argF	b0135//
argG	b3617//
argI	b2402//
argO	b4044//
argP	b3517//
argQ	b3442//
argR	b1231//
argS	C0362//
argT-hisJQMP	b1662//b3311//b3359//b2204//b3190//
argU	b4017//
argW	b1059//
argX-hisR-leuT-proM	b1973//b4245//b0120//b0328//
ariR	b0149//
arnBCADTEF	b0147//b2476//b3170//b0210//b0053//b3629//b0518//
aroF-tyrA	b3430//b0585//
aroG	b0550//
aroH	b2073//
aroKB-damX-dam-rpe-gph-trpS	b4482//b4048//b3174//b0341//b1622//b4363//b0287//
aroL-yaiA-aroM	b3685//b3669//b0734//
aroP	b2877//
arpA	b0764//
arpB_1B_2	b3880//b2342//
arrS	b0140//
arsRBC	b0253//b0038//b2679//
artJ	b3950//
artPIQM	b0857//b3782//b0135//b0358//
ascB	b1805//
ascFB	b2295//b0169//
ascG	b1620//
asd	b1280//
aslA	b4269//
aslB	b0027//
asmA	ychG_1//
asnA	b0948//
asnB	b0145//
asnC	b4359//
asnC-mioC	b0200//b1672//
asnC-mioC-mnmG	b0902//b3207//b0920//
asnS	b3786//
asnT	b3257//
asnU	b3446//
asnV	ydbA_2//
asnW	b3656//
aspA	b0321//
aspA-dcuA	b1095//b4050//
aspC	b1599//
aspS	b0233//
aspT	b1922//
aspU	b0661//
aspV	b0647//
asr	b1410//
astCADBE	b0889//b3744//b2192//b1053//b3670//
atl	b1909//
atoDAEB	b0138//b1070//b4162//b0847//
atoSC	b0973//b3014//
atpBEFHAGDC	b3503//b1301//b2544//ecpB//b0184//b0721//b1296//b0509//
atpIBEFHAGDC	b1142//b2897//b2055//b3944//b2453//b1877//b1339//b0208//b2806//
avtA	b1394//
azoR	b2715//
azuC	b2770//
bacA	b2938//
baeSR	b3374//b2995//
bamA	b0492//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b3592//b2455//b3131//b3330//b3947//b1743//b2652//b4015//
bamB-der	b0741//b4074//
bamC	tpke11//
bamD	b3074//
bamE	b2994//
barA	b0453//
basRS	b2752//b3360//
bax	b0305//
bcp	b4110//
bcr	b0048//
bcsABZC	b3226//b2370//b0245//b4387//
bcsBZ	b2432//b2815//
bcsEFG	b1870//b2695//b3743//
bcsQ	b3481//
bdcA	b0276//
bdcR	b3313//
bdm-sra	b0330//b2520//
bepA-yfgD	b3940//b1310//
betIBA	b3676//b1876//b1497//
betT	b0992//
bfd-bfr	b0242//b4523//
bglA	b3715//
bglG	b0001//
bglGFB	b1337//b2631//b4059//
bglH-yieLK	b3631//b0187//b2330//
bglX	b0035//
bhsA	b3234//
bioA	b0709//
bioBFCD	b2041//b3936//gapC_1//b1365//
bioH	b4019//
bipA	b2797//
bisC	b2183//
blc	b2254//
blr	b2923//
bluF	b3140//
bluR	b3829//
bolA	b3225//
borD	b3669//
brnQ-proY	b1080//b2199//
bsmA	b2478//
bssR	b3311//
bssS	b1948//
btuB-murI	b1051//b1281//
btuCED	b1106//b0231//b3967//
cadA	yrhC//
cadBA	b4471//b3761//
cadC	b0860//
caiCDE	b2262//b0704//b1694//
caiF	b2687//
caiTABCDE	b2630//b0147//b3893//b3244//b3406//b0614//
can	b2248//
carAB	b0748//b0633//
carB	b1960//
cas2	ybeM_2//
cas3	b4339//
casABCDE12	b0775//b1264//b1535//b3952//b1576//b4550//b0440//
casDE12	b0637//b1372//b3495//b0382//
cbl	b4160//
cbpAM	b0523//b2592//
cbrA	b0127//
cbrB	b2886//
cbrBC	b2211//b3962//
cbrC	b4207//
ccmABCDEFGH	b0223//b2231//b3961//b0630//b2363//b0775//b2395//b1584//
cdaR	b2690//
cdd	b2048//
cdgI	b3451//
cdh	b4536//
cdsA	b3936//
cecR-ybhGFSR	b0339//b2756//b0220//b2520//b2196//
cedA	b0078//
cfa	b0870//
chaA	b2483//
chaBC	b1399//b1341//
chaC	b2728//
chbBCARFG	b3314//b0599//b4526//b1322//b0904//b3953//
chiA	b4596//
chiP-ybfN	b3118//b2966//
chiX	b0887//
cho	b1588//
chpSB	b0112//b1568//
cirA	b4248//
citCDEFXG	b2045//b2734//b4392//b1770//b0177//b0466//
citT	b0295//
clcA	b4443//
clcB	b0394//
clpA	b1327//
clpB	b1431//
clpPX	b0452//b0393//
clpS	b3240//
clpX-lon	b2517//b0635//
clsA-yciU	b4326//b0643//
clsC	b3224//
cmk-rpsA	b3878//b0452//
cmoM-mukFEB	b1093//b4208//b0619//b2894//
cmtBA-yggPFDC	b2517//b3945//b0870//b3805//b0791//b1253//
cnu	b3003//
coaA	b1627//
coaE-zapD-yacG	b3249//b1018//b1050//
cobUST	b4597//b0956//b4371//
codBA	b2000//b2114//
cof	b2154//
comR	b2007//
copA	b4185//
corA	b4390//
cpdB	b3830//
cpxPQ	b2695//b0585//
cpxRA	b2422//b1151//
cra	b2778//
crcB	b0586//
creABC	b1390//b4140//b3983//
creABCD	b0893//b2557//b1695//b3696//
creD	b1508//
crfC-yjcZ	b0415//b2883//
crl	b0091//
crp	b2079//
crr	b0459//
csdAE	sroE//b1122//
csgBAC	b2150//b0592//b2625//
csgC	b3307//
csgDEFG	b1166//b3257//b2749//b1679//
csiD-lhgO-gabDTP	b3798//b4171//b2935//b2345//b3471//
csiE	b2284//
