# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	acpH//
aas_lplT	nrdF//
abgABT_ogt	gltA//paaB//waaB//
abpAB	
accBC	yhdH//trmL//
aceBAK	otsB//rutD//fre//
aceEF	carA//moaD//xdhC//
ackA_pta	murA//aroB//
acpP_fabF	wrbA//
acrAB	relA//mmuM//
acrEF	fadJ//
acs_yjcH_actP	lpxD//hemA//
ada_alkB	dfp//malY//
agaS_kbaY_agaBCDI	glgP//
ahpCF	trpA//
alaA_yfbR	yhdJ//ynfF//
alaWX	
allDCE	nth//purU//speC//
alsBACE	fadM//adeD//
amiA_hemF	trpC//napH//
ampDE	cysS//
ansA_pncA	rsuA//rlmA//rlmJ//
apaGH	glgP//
appCBXA	tsaB//citF//
araBAD	mtlD//opgB//dsdA//
araE_ygeA	tsaD//
araFGH	hemG//
argCBH	nadE//hemA//rimK//
argT_hisJQMP	yqaB//tauD//
argX_hisR_leuT_proM	
arnBCADTEF	polA//trmJ//serS//fabF//aroC//
aroF_tyrA	waaL//psuG//
aroKB_damX_dam_rpe_gph_trpS	speE//yneH//glnE//etk//moaD//ybjI//
aroL_yaiA_aroM	aceE//
arpB_1B_2	
arsRBC	alaS//hycE//
artPIQM	pgpB//
ascFB	ubiA//adhP//
asnC_mioC	
asnC_mioC_mnmG	glmM//
aspA_dcuA	dgcP//entB//
astCADBE	cmoB//thiE//garD//alkA//mtgA//
atoDAEB	ydjG//cdsA//paaA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	dxs//yjhH//yliI//guaC//tadA//rlmB//
bamB_der	ribC//
basRS	
bcsABZC	glpC//nrdF//
bcsBZ	ychF//ligA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	sgbH//scpA//
bfd_bfr	ubiI//
bglGFB	sseA//fadA//
bglH_yieLK	
bioBFCD	fkpA//ftsI//fabH//aldA//
brnQ_proY	coaA//nudG//
btuB_murI	nudK//menB//
btuCED	purM//lpxM//
cadBA	folC//asnA//
caiCDE	srlD//ackA//
caiTABCDE	purL//gpsA//paaK//glxK//rutD//
carAB	glcE//
casABCDE12	glyA//
casDE12	eno//
cbpAM	
cbrBC	
ccmABCDEFGH	ilvD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	gcd//mraY//hisG//
chiP_ybfN	folM//
chpSB	alsK//
citCDEFXG	trxB//astA//cysQ//
clpPX	narG//entB//frlD//tmk//
clpX_lon	cynT//lgoD//gloB//
clsA_yciU	hcaD//
cmk_rpsA	pabC//
cmoM_mukFEB	
cmtBA_yggPFDC	frlB//rfbB//
coaE_zapD_yacG	adeD//
cobUST	nadA//pfkB//uvrB//
codBA	glcE//pgaB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	wecB//
csgBAC	
csgDEFG	aceA//
csiD_lhgO_gabDTP	rlmC//rfbA//rfbC//pdeR//
cusCFBA	abgA//
cusRS	
cvpA_purF_ubiX	lysC//ycjG//
cydAB	aroD//
cydDC	glyS//
cydX_ybgE	amiD//
cynTS	nagK//gmk//
cynTSX	nrfA//rsmC//scpB//
cyoABCDE	fucA//azoR//
cysDNC	nrfD//mtlD//
cysJIH	waaU//ssuE//mug//
cysPUWAM	betA//trpA//dacA//
dadAX	coaA//yjhG//
damX_dam_rpe_gph_trpS	rffC//yciA//tpiA//hisH//
dam_rpe_gph_trpS	argB//argB//dadA//yieF//
dapA_bamC	slt//
dapE_ypfN	bioB//
dcm_vsr	cobU//
dcuB_fumB	hisB//mgsA//
dcuSR	
dcyD_tcyLN	nrdE//pgl//
ddpXABCDF	pldB//
def_fmt	phnM//yicI//
degQS	polB//yihT//
deoABD	dxr//rsuA//rihA//
deoBD	slyD//pgaD//
deoCABD	mobA//bioC//mgsA//srlD//
dgoRKADT	hmp//udk//clsB//preT//
dhaKLM	alsE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gor//napA//
dinJ_yafQ	miaA//
dksA_gluQ	entC//
dmsABC	murD//
dnaAN_recF	eda//
dnaK_tpke11_dnaJ	metA//
dnaN_recF	hisS//
dnaTC	
dnaTC_yjjA	
dosCP	ubiC//purE//
dpiBA	
dppABCDF	gltA//
dsbC_recJ_prfB	pgpA//wrbA//
dsbD_yjdC	
dsdXA	ddlA//sufS//
dusB_fis	ubiF//
dut_slmA	dinB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ribF//ygiF//
efeOB	aceE//
efeU_1U_2	
elbB_mtgA	btuR//
elfDCG_ycbUVF	
emrKY	narV//
entCEBAH	fabA//glpA//pepD//hyi//csdA//pabC//
envY_ompT	hisA//
epd_pgk	mutM//waaB//
epd_pgk_fbaA	sbcB//mcrA//ghrB//
essD_rrrD_rzpD	uvrB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	purN//
eutHA	
eutNEJG	
eutSPQTDM	hisC//
evgAS	
exbBD	
fabDG_acpP	purB//ispD//
fabG_acpP	dgkA//
fabHDG	nfsA//ispE//truD//
fabR_yijD	
fadBA	cyoE//preT//
fadD_sroD	ilvE//
fadIJ	pinE//aroA//
fdnGHI	
fdoGHI_fdhE	paoA//
fdrA_ylbEF_ybcF	trxB//
fecABCDE	yjjX//murG//
fecIR	
feoABC	fucK//
fepA_entD	menI//arsC//gloC//
fepDGC	fsaA//
fes_ybdZ_entF_fepE	gsk//treA//gltA//
fetAB	
fhuACDB	fdhF//tmcA//
ficA_fic_pabA	cysH//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rutA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trpC//deoB//
folC_dedD	aphA//
folD_ybcJ	ygjK//
folE_yeiB	paaG//
folP_glmM	opgE//yfcF//
folX_yfcH	btuR//
frdABCD	lpxD//
frlABCDR	fadE//caiB//dcyD//apaH//
frmRAB	add//ispD//
fruBKA	allC//fadH//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	malY//paaK//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aspS//ilvH//gatY//phnN//torC//hisH//dinB//ribB//treF//cysH//
ftsQAZ	
ftsYEX	
fucAO	yciV//coaE//
fucPIKUR	mutL//aroL//bioH//phnP//
fumAC	mhpD//bioB//
fusA_tufA	
gabDTP	purE//nrdA//ligB//
