#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2976//
C0299	b0888//
C0362	b0243//
C0465	b1199//
C0614	b1824//
C0664	b3619//
C0719	b1082//
IS128	b4325//
aaeR	b1278//
aaeXAB	b2950//b2685//b2728//
aas-lplT	b2771//b3358//
aat	b2539//
abgABT-ogt	qseG//b3043//b2788//b3880//
abgR	b3535//
abpAB	b4365//b3371//
abrB	b3140//
accA	b3475//
accBC	b1762//b1968//
accD	b2259//
aceBAK	b0955//b2940//b4187//
aceEF	b2111//b3431//
aceK	b4065//
ackA	b3355//
ackA-pta	b3139//b1653//
acnA	b3760//
acnB	b3721//
acpH	b2104//
acpP	b2003//
acpP-fabF	b1503//b4170//
acpT	b0559//
acrAB	b2003//b4022//
acrB	b3349//
acrD	b3165//
acrEF	b2779//b0319//
acrR	b1632//
acrZ	b4368//
acs-yjcH-actP	b2740//b4020//b1099//
actP	b1086//
ada-alkB	b1506//b4443//
add	b2054//
adeD	b2862//
adeP	b2432//
adeQ	b1794//
adhE	b3409//
adhP	b2201//
adiA	b2373//
adiC	b4528//
adiY	b1688//
adk	b4471//
aegA	b4294//
aer	b1023//
aes	b4021//
agaR	b0412//
agaS-kbaY-agaBCDI	b2222//b4307//b4221//b4180//yjiV//b4382//
agp	b1638//
agrA	b3022//
agrB	b2583//
ahpCF	b4006//b3354//
ahpF	b1104//
ahr	b0506//
aidB	b2574//
ais	yhiS_1//
alaA	b3158//
alaA-yfbR	b0475//b0354//
alaC	b4079//
alaE	b2253//
alaS	b3094//
alaWX	b1270//b3726//
aldA	b4182//
aldB	b2308//
alkA	b4203//
alkB	b0418//
allA	b1867//
allDCE	b1808//b1295//b1589//
allR	b1772//
allS	b2890//
alpA	b3432//
alr	b0537//
alsBACE	b2764//b1886//b3740//b1387//
alsK	b0623//
alx	b1997//
amiA-hemF	b2045//b0835//
amiC	b0478//
amn	b2714//
ampC	b3566//
ampDE	b3675//b1599//
ampG	b2255//
ampH	b4421//
amyA	b4157//
anmK	b2324//
ansA-pncA	b0007//b4606//
ansB	b2821//
ansP	b2668//
apaGH	b3021//b4156//
aphA	b0344//
appA	b0929//
appCBXA	b3624//b4186//b4410//b1117//
appY	b3323//
apt	gapC_2//
aqpZ	b2190//
araBAD	b1905//b3648//b3901//
araC	b1694//
araE	yedN_1//
araE-ygeA	b0009//b1451//
araFGH	b2003//b1224//b1197//
araJ	b2163//
arcA	b2310//
arcB	b1483//
arcZ	b1785//
arfA	b3613//
argA	b1165//
argCBH	b2467//b1336//b1004//
argD	b4410//
argE	b3629//
argF	b1014//
argG	b1447//
argI	b3071//
argO	b3484//
argP	b1661//
argQ	b1335//
argR	b1101//
argS	b2210//
argT-hisJQMP	b0825//b3026//b4007//b1505//b2971//
argU	b4599//
argW	b1013//
argX-hisR-leuT-proM	wbbL_2//b3991//b3829//b3410//
ariR	b1037//
arnBCADTEF	b0031//b0387//b3036//b0585//b2891//b2087//b4061//
aroF-tyrA	b1814//b1126//
aroG	b1766//
aroH	b2844//
aroKB-damX-dam-rpe-gph-trpS	b4285//b0878//b1856//b3559//b2388//b1596//b1188//
aroL-yaiA-aroM	b3127//b4470//b0965//
aroP	b1548//
arpA	b2429//
arpB_1B_2	b2505//b3138//
arrS	b2177//
arsRBC	b1404//b1253//b2111//
artJ	b1176//
artPIQM	b4042//b4055//b3093//b1459//
ascB	b0913//
ascFB	b0068//b2704//
ascG	b3258//
