# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galU//
aas_lplT	fabG//
abgABT_ogt	yjcS//asnA//pyrD//
abpAB	
accBC	tdk//pgm//
aceBAK	paaI//yieH//dusA//
aceEF	lpxA//insI-2//etp//
ackA_pta	tsaE//ilvD//
acpP_fabF	argF//
acrAB	moaA//lldD//
acrEF	yibQ//
acs_yjcH_actP	dnaQ//folC//
ada_alkB	bcsZ//purD//
agaS_kbaY_agaBCDI	dhaK//
ahpCF	pdxB//
alaA_yfbR	hcp//nadE//
alaWX	
allDCE	rpe//tesB//torY//
alsBACE	murD//ahr//
amiA_hemF	malQ//malZ//
ampDE	dosC//
ansA_pncA	garL//thiF//hisG//
apaGH	lsrK//
appCBXA	lpxD//cpsB//
araBAD	acs//dapE//sgbH//
araE_ygeA	fabA//
araFGH	slt//
argCBH	relA//murC//purD//
argT_hisJQMP	adeD//aldA//
argX_hisR_leuT_proM	
arnBCADTEF	ppiA//cheR//acnA//orn//nadD//
aroF_tyrA	ravA//uxaC//
aroKB_damX_dam_rpe_gph_trpS	hisS//cobC//nadE//cynT//ribF//mhpD//
aroL_yaiA_aroM	nrfA//
arpB_1B_2	
arsRBC	pfkA//yfaU//
artPIQM	puuC//
ascFB	poxB//yghA//
asnC_mioC	
asnC_mioC_mnmG	argS//
aspA_dcuA	gatZ//waaJ//
astCADBE	malY//gcvP//sdaA//wecB//proA//
atoDAEB	kdgK//alr//purB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	mpaA//pyrD//ydiF//ilvE//nadE//caiB//
bamB_der	dapD//
basRS	
bcsABZC	dgoK//dcm//
bcsBZ	ispA//abgB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mrcB//hemG//
bfd_bfr	trpC//
bglGFB	malS//panB//
bglH_yieLK	
bioBFCD	pldB//ppiA//mltA//kbaZ//
brnQ_proY	rutB//bioD//
btuB_murI	dgoD//alaC//
btuCED	fumB//nfsB//
cadBA	citX//trmA//
caiCDE	ung//kduD//
caiTABCDE	paaE//wrbA//purA//thrC//pinE//
carAB	folM//
casABCDE12	lpcA//
casDE12	sbcB//
cbpAM	
cbrBC	
ccmABCDEFGH	speG//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rffC//rlmE//mcrA//
chiP_ybfN	guaD//
chpSB	adhP//
citCDEFXG	aroA//pabC//ampC//
clpPX	gatZ//cpsG//rihC//kduI//
clpX_lon	hemB//adhP//idnK//
clsA_yciU	lysS//
cmk_rpsA	cdh//
cmoM_mukFEB	
cmtBA_yggPFDC	purD//moeA//
coaE_zapD_yacG	paaG//
cobUST	waaY//rluD//puuB//
codBA	dmsC//tktB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	dhaK//
csgBAC	
csgDEFG	gcd//
csiD_lhgO_gabDTP	maa//rrrD//tam//dusA//
cusCFBA	cfa//
cusRS	
cvpA_purF_ubiX	relA//pgaB//
cydAB	tehB//
cydDC	rlmB//
cydX_ybgE	alaS//
cynTS	ribA//ubiE//
cynTSX	allB//ybiV//pykF//
cyoABCDE	otsA//hemD//
cysDNC	garL//astE//
cysJIH	can//yegS//rfbD//
cysPUWAM	hisI//glpC//accD//
